merchant_sku,product_id,name,slug,brand,price,stock,is_active,is_published,visibility_status,discount_price,category_slug,image_url,short_char_count,description_present,match_final_csv,issues
ARD-2437,96597b43-c10c-40f4-8395-c8202ef174a7,عطر حياتي الملكي 100 مل,عطر-حياتي-الملكي-100-مل-ard-2437,Lattafa,15000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2437.webp,113,true,true,
ARD-2471,5a44f177-a1ed-4d91-85b7-b69a4852dfb9,عطر عودين 100 مل,عطر-عودين-100-مل-ard-2471,Lattafa,16000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2471.webp,96,true,true,
ARD-2493,07b9cf6e-a45d-4528-8567-72bd87612588,عطر سمبلي عود 100 مل,عطر-سمبلي-عود-100-مل-ard-2493,Lattafa,19000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2493.webp,104,true,true,
ARD-2494,8803b56e-51ad-49b9-86af-13fb8b98ad2f,عطر سطور 100 مل,عطر-سطور-100-مل-ard-2494,Lattafa,20000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2494.webp,101,true,true,
ARD-2511,50e81234-f7ae-41d3-9e47-63afc2e64e54,عطر انا الابيض بودري,عطر-انا-الابيض-بودري-ard-2511,Lattafa,18000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2511.webp,72,true,true,
ARD-2512,42b8a1b0-cb71-4540-8e5b-88649153587f,عطر حياتي ذهبي الكسير,عطر-حياتي-ذهبي-الكسير-ard-2512,Lattafa,15000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2512.webp,61,false,true,
ARD-2515,0c7b9665-d267-4daf-bd5b-cd3e09af28a5,عطر انا الابيض لذر 60 مل,عطر-انا-الابيض-لذر-60-مل-ard-2515,Lattafa,16000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2515.webp,98,true,true,
ARD-2583,f61f42fc-8956-46f2-a544-64f9ba0bdd30,عطر نجدية تربيوت,عطر-نجدية-تربيوت-ard-2583,Lattafa,14000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2583.webp,105,false,true,
ARD-2648,3430e3a1-d7c2-4ccc-af19-0ce9dbaaf30f,عطر الازل 100 مل,عطر-الازل-100-مل-ard-2648,Lattafa,14000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2648.webp,99,true,true,
ARD-2745,1bd28cea-3159-40a8-a6a8-2c796e158bb3,عطر مهرة 100 مل,عطر-مهرة-100-مل-ard-2745,Lattafa,19000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2745.webp,94,true,true,
ARD-2753,a990f968-2c45-41c7-b123-5b07ede68aa1,عطر اوبلينت ريد 100 مل,عطر-اوبلينت-ريد-100-مل-ard-2753,Lattafa,14000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2753.webp,100,true,true,
ARD-2760,a733d687-ad6d-4a21-9d23-4ef4c24650ba,عطر اسد 100 مل,عطر-اسد-100-مل-ard-2760,Lattafa,30000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2760.webp,103,true,true,
ARD-2765,7ed1c7c0-9451-4da2-8509-e8b7c79a897b,عطر منى 100 مل,عطر-منى-100-مل-ard-2765,Lattafa,14000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2765.webp,99,true,true,
ARD-2773,25807a80-5272-47f6-9356-b58c4179d214,عطر عود مود تذكر 100 مل,عطر-عود-مود-تذكر-100-مل-ard-2773,Lattafa,19000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2773.webp,99,true,true,
ARD-2793,0ad730ac-da6f-4493-a333-b816b58b308d,معطر جو لطافة جديد فخر لطافة هوم,معطر-جو-لطافة-جديد-فخر-لطافة-هوم-ard-2793,Lattafa,3000.00,0,false,false,private,,home-linen-air,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2793.webp,91,false,true,
ARD-2797,a4fdeaaf-ef5d-4464-9d98-a2f2e2e79e16,معطر جو لطافة جديد فخر لطافة نسائي,معطر-جو-لطافة-جديد-فخر-لطافة-نسائي-ard-2797,Lattafa,3000.00,0,false,false,private,,home-linen-air,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2797.webp,94,true,true,
ARD-287,0210fcbf-9ca9-4279-910c-9814835511d9,عطر انا الابيض,عطر-انا-الابيض-ard-287,Lattafa,18000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-287.webp,85,true,true,
ARD-2876,7690edb5-05cc-4972-a2be-d0b98afb0aab,عطر قصائد السلطان 100 مل,عطر-قصائد-السلطان-100-مل-ard-2876,Lattafa,15000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2876.webp,99,true,true,
ARD-2879,c256c0f3-a76f-4e9f-a6e2-0c06b7cf3221,عطر خمرة 100 مل,عطر-خمرة-100-مل-ard-2879,Lattafa,40000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2879.webp,103,true,true,
ARD-2932,eec78115-f3cd-4e5d-8cbe-0b71f92f27f6,عطر الاوصاف 100 مل,عطر-الاوصاف-100-مل-ard-2932,Lattafa,13000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2932.webp,113,true,true,
ARD-2933,0a6fc7e8-181a-4f3b-8563-6d583ae8f243,عطر تميمة 100 مل,عطر-تميمة-100-مل-ard-2933,Lattafa,16000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2933.webp,105,true,true,
ARD-308,6bae4a29-eefb-4033-9158-1b232a7ea144,عطر اختياري,عطر-اختياري-ard-308,Lattafa,12000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-308.webp,89,true,true,
ARD-309,d5ecc6a9-006d-4d62-b747-7826a7181010,عطر وشوشه,عطر-وشوشه-ard-309,Lattafa,15000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-309.webp,88,true,true,
ARD-310,ccbdb71f-388d-46e0-8a84-8ccd062c9ba5,عطر رغبه رجالي,عطر-رغبه-رجالي-ard-310,Lattafa,14000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-310.webp,80,true,true,
ARD-311,147aae07-ae36-4406-acab-d8edbeded244,عطر رمز لطافه فضي,عطر-رمز-لطافه-فضي-ard-311,Lattafa,17000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-311.webp,72,true,true,
ARD-3117,a246eabe-ca06-4def-9ab8-63f994fcf0b4,عطر انسام سلفر,عطر-انسام-سلفر-ard-3117,Lattafa,45000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3117.webp,103,false,true,
ARD-312,9a52adc8-3c64-419c-a638-5febf80a3276,عطر اعجازي لطافة,عطر-اعجازي-لطافة-ard-312,Lattafa,15000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-312.webp,78,true,true,
ARD-3149,8f62c791-3da1-48d1-8ec0-220b6d53e562,عطر يارا موي 100 مل,عطر-يارا-موي-100-مل-ard-3149,Lattafa,30000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3149.webp,112,true,true,
ARD-3240,801dcc70-f6e5-4dbc-a9e3-066505d8dc80,عطر هيا 100 مل,عطر-هيا-100-مل-ard-3240,Lattafa,30000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3240.webp,109,true,true,
ARD-3242,021c053a-6dc8-4228-be82-ae118c26187b,عطر سكينة 100 مل,عطر-سكينة-100-مل-ard-3242,Lattafa,30000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3242.webp,103,true,true,
ARD-3244,aa94896d-f737-4e5f-8c5b-15578d3f23b8,عطر تاويل 100 مل,عطر-تاويل-100-مل-ard-3244,Lattafa,27000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3244.webp,108,true,true,
ARD-3245,9f74b366-927b-4601-a15b-a402ccff081d,عطر ايمان 100 مل,عطر-ايمان-100-مل-ard-3245,Lattafa,30000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3245.webp,110,true,true,
ARD-3260,6b13c3a2-f7da-4aab-bf42-678fa3d768cd,عطر ماهر لاغسي 100 مل,عطر-ماهر-لاغسي-100-مل-ard-3260,Lattafa,35000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3260.webp,107,true,true,
ARD-3274,d8cdb9d2-5441-4dee-b4bb-c1d4c23787eb,عطر ذوق 80 مل,عطر-ذوق-80-مل-ard-3274,Lattafa,45000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3274.webp,96,true,true,
ARD-3347,72d976c6-769c-43f0-b8f3-3878685b2070,عطر عود نجدية,عطر-عود-نجدية-ard-3347,Lattafa,14000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3347.webp,137,false,true,
ARD-3349,b5173fb9-b143-41a0-9231-06093445f0e3,عطر اورا 60 مل,عطر-اورا-60-مل-ard-3349,Lattafa,26000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3349.webp,107,true,true,
ARD-3350,5cc4a9cf-684f-4452-b1aa-8b0e78208dc6,عطر فلفت روز 100 مل,عطر-فلفت-روز-100-مل-ard-3350,Lattafa,23000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3350.webp,94,true,true,
ARD-3351,5ef7f9a6-b90f-4d88-a07a-1d42cc615912,عطر النبل امير 100 مل,عطر-النبل-امير-100-مل-ard-3351,Lattafa,19000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3351.webp,102,true,true,
ARD-3352,eef0eec7-41c1-492b-9706-61dee8b7a9b4,عطر النبل وزير 100 مل,عطر-النبل-وزير-100-مل-ard-3352,Lattafa,19000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3352.webp,101,true,true,
ARD-3353,ec5c0ab9-6a06-4d02-830f-f90f1f772a26,عطر النبل سفير 100 مل,عطر-النبل-سفير-100-مل-ard-3353,Lattafa,19000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3353.webp,108,true,true,
ARD-3531,d805397e-23c9-4c7a-961e-1047a1464002,عطر اجواء 90 مل,عطر-اجواء-90-مل-ard-3531,Lattafa,45000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3531.webp,94,true,true,
ARD-3536,0a8fe100-69de-4b44-81f7-4d962a239ceb,عطر فنتاج راديو 100 مل,عطر-فنتاج-راديو-100-مل-ard-3536,Lattafa,45000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3536.webp,107,true,true,
ARD-3627,e4679dc4-cdc9-44c1-a9ab-6ddbdb334196,عطر لا كولكشن 1910 بايك 100 مل,عطر-لا-كولكشن-1910-بايك-100-مل-ard-3627,Lattafa,65000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3627.webp,107,true,true,
ARD-3628,224239d5-efc4-4ec3-899c-9fee32ec9e2d,عطر لا كولكشن 1886 كار 100 مل,عطر-لا-كولكشن-1886-كار-100-مل-ard-3628,Lattafa,65000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3628.webp,104,true,true,
ARD-3709,744306d2-87df-4679-8f56-60e5aef5225c,عطر خمرة قهوة 100 مل,عطر-خمرة-قهوة-100-مل-ard-3709,Lattafa,40000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3709.webp,93,true,true,
ARD-3710,cd5ae895-e38c-4ed3-a6e9-c17a7f67d207,عطر عجايب دبي بورتريت ابيض 100 مل,عطر-عجايب-دبي-بورتريت-ابيض-100-مل-ard-3710,Lattafa,20000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3710.webp,62,false,true,
ARD-3711,1c423251-8d0c-4aff-b242-5b07bd75b629,عطر قائد الفرسان انلمتد ابيض 90 مل,عطر-قائد-الفرسان-انلمتد-ابيض-90-مل-ard-3711,Lattafa,15000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3711.webp,122,false,true,
ARD-3712,c428991b-aede-45e4-9f2c-b0027acd81e8,عطر يارا توس 100 مل الاصفر,عطر-يارا-توس-100-مل-الاصفر-ard-3712,Lattafa,30000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3712.webp,91,false,true,
ARD-3714,a542e3e8-bd95-449b-af7f-c21faaad83c8,عطر ليام 100 مل,عطر-ليام-100-مل-ard-3714,Lattafa,25000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3714.webp,104,false,true,
ARD-3897,cf95e34f-39ca-48ed-9d95-d71d6cf899da,عطر بديع العود سبليم الاحمر,عطر-بديع-العود-سبليم-الاحمر-ard-3897,Lattafa,35000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3897.webp,60,false,true,
ARD-4138,8a981308-8111-4ce2-95d9-2df84646e760,عطر اكلاير 100 مل,عطر-اكلاير-100-مل-ard-4138,Lattafa,40000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-4138.webp,85,true,true,
ARD-4214,75b59634-76ac-470d-a3eb-61d0670f6a63,عطر عفيف 100 مل,عطر-عفيف-100-مل-ard-4214,Lattafa,49000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-4214.webp,141,false,true,
ARD-4215,3f656acf-6f0d-43bd-a34a-14c7f7e21018,عطر فخر لطافة اكستراكت 100 مل,عطر-فخر-لطافة-اكستراكت-100-مل-ard-4215,Lattafa,25000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-4215.webp,83,false,true,
ARD-4246,5a62505a-4e4e-4502-9831-a2311d425f07,عطر بديع العود نوبل بلش 100 مل,عطر-بديع-العود-نوبل-بلش-100-مل-ard-4246,Lattafa,35000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-4246.webp,67,false,true,
ARD-4255,c4603422-b7ab-414d-a2b6-c3151556c932,عطر حياتي فلورنس 100 مل,عطر-حياتي-فلورنس-100-مل-ard-4255,Lattafa,15000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-4255.webp,112,false,true,
ARD-4256,e33f738a-fd31-42bc-8cb5-5eff12dbb415,عطر انا الابيض كورال 60 مل,عطر-انا-الابيض-كورال-60-مل-ard-4256,Lattafa,18000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-4256.webp,114,false,true,
ARD-4273,5bc9e785-e12a-4fe4-870e-719f3628f594,عطر انغام 100 مل,عطر-انغام-100-مل-ard-4273,Lattafa,29000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-4273.webp,102,false,true,
ARD-4286,2d91ead3-f751-4bf1-873b-80a1da4301ac,عطر مشربية 100 مل,عطر-مشربية-100-مل-ard-4286,Lattafa,33000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-4286.webp,188,false,true,
ARD-4300,d0fbe636-a30e-4271-b6b5-81b2c3ea687a,معطر جو بديع العود ابيض 300 مل,معطر-جو-بديع-العود-ابيض-300-مل-ard-4300,Lattafa,3000.00,0,false,false,private,,home-linen-air,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-4300.webp,113,false,true,
ARD-4336,168c1b49-0ef5-4f54-92ef-425b5de2a27c,عطر خمرة دخان 100 مل,عطر-خمرة-دخان-100-مل-ard-4336,Lattafa,40000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-4336.webp,109,false,true,
ARD-4564,24ba4b48-7ca3-4e03-a8df-8368248d63c4,معطر جو ماهر 300 مل,معطر-جو-ماهر-300-مل-ard-4564,Lattafa,3000.00,0,false,false,private,,home-linen-air,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-4564.webp,101,false,true,
ARD-463,71ae8d9d-6f1d-430a-8589-8853c44e35cb,عطر روعة العود,عطر-روعة-العود-ard-463,Lattafa,19000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-463.webp,83,true,true,
ARD-4637,0162afa5-df1e-40ff-aeb3-ab367dda8dd0,عطر اسد بوربون,عطر-اسد-بوربون-ard-4637,Lattafa,30000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-4637.webp,107,false,true,
ARD-465,afe9a923-5dec-4c81-b440-9329df11a376,عطر قمة النساء,عطر-قمة-النساء-ard-465,Lattafa,16000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-465.webp,89,true,true,
ARD-466,25ae9867-7a5c-41ca-99a8-c33013eebfd7,عطر رغبه للنساء,عطر-رغبه-للنساء-ard-466,Lattafa,13000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-466.webp,89,true,true,
ARD-4660,d5521d55-3eb5-40c2-b451-b28413d50ceb,عطر ليان 75 مل,عطر-ليان-75-مل-ard-4660,Lattafa,33000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-4660.webp,102,false,true,
