priority,source_row,merchant_sku,product_name,brand,size,category,current_image_status,source_product_url,image_source_url,source_type,acquisition_status,review_notes
23,841,ARD-3637,"معطر دبدوب مني باريس مايستري فور ومن","Mini Paris","",home-linen-air,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
24,842,ARD-3638,"معطر دبدوب مني باريس اكس اكس","Mini Paris","",home-linen-air,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
25,843,ARD-3639,"معطر دبدوب مني باريس برايم","Mini Paris","",home-linen-air,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
26,844,ARD-3640,"معطر دبدوب مني باريس باشون هوم","Mini Paris","",home-linen-air,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
27,845,ARD-3641,"معطر دبدوب مني باريس فري سنس بلاك كرستال","Mini Paris","",home-linen-air,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
28,846,ARD-1785,"عطر امبولس برايف مان","VURV","",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
29,847,ARD-1786,"عطر امبولس انتنس مان","VURV","",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
30,850,ARD-997,"عطر خالص ابيض","Asdaaf","",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
31,851,ARD-1271,"عطر امير العرب","Asdaaf","",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
32,852,ARD-1272,"عطر اميرة العرب","Asdaaf","",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
33,853,ARD-1815,"عطر خالص ابيض ذهبي","Asdaaf","",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
34,855,ARD-1946,"عطر مودتي","Asdaaf","",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
35,856,ARD-1947,"عطر غيد","Asdaaf","",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
36,857,ARD-1953,"عطر وصوف","Asdaaf","",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
37,858,ARD-1954,"عطر الليلة غير","Asdaaf","",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
38,859,ARD-1971,"عطر شمة ورد 100 مل","Asdaaf","100 مل",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
39,860,ARD-2003,"عطر الاول","Asdaaf","",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
40,864,ARD-4172,"عطر امير العرب امبريوم 100 مل","Asdaaf","100 مل",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
41,865,ARD-4196,"عطر العندليب فلورا 100 مل","Asdaaf","100 مل",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
42,866,ARD-4457,"عطر فؤاد 100 مل","Asdaaf","100 مل",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
43,867,ARD-4468,"عطر يا حبيبتي 100 مل","Asdaaf","100 مل",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
44,868,ARD-4486,"عطر قرار 80 مل","Asdaaf","80 مل",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
45,869,ARD-4509,"عطر مجد السلطان بلاك انتيس","Asdaaf","",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
46,870,ARD-4665,"عطر اعيان 100 مل","Asdaaf","100 مل",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
47,872,ARD-317,"عطر ديرلنك كرييتف","ديرلنك","",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
48,873,ARD-1708,"عطر شعر 50 مل دارك دزاير","VERT","50 مل",hair-care-fragrance,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
49,874,ARD-1709,"عطر شعر 50 مل سنسير","VERT","50 مل",hair-care-fragrance,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
50,875,ARD-1845,"عطر اليكسير 50 مل","Portraits","50 مل",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
51,876,ARD-1992,"عطر شعر 50 مل بيور كولد","So Cute","50 مل",hair-care-fragrance,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
52,877,ARD-2174,"عطر اوصاف / خيالي 100 مل","أوصاف","100 مل",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
53,878,ARD-2177,"عطر اوصاف / سنه 100 مل","أوصاف","100 مل",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
54,879,ARD-2178,"عطر اوصاف / طلة 100 مل","أوصاف","100 مل",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
55,880,ARD-2183,"عطر اوصاف / مرجان 100 مل","أوصاف","100 مل",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
56,881,ARD-2166,"عطر الهيبة مميز / نور 100 مل","الهيبة","100 مل",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
57,882,ARD-2346,"عطر برلين","Dukhni","",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
58,885,ARD-2693,"معطر جسم ايكون / سماش","Icon","",body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
59,886,ARD-2694,"معطر جسم ايكون / ريبل","Icon","",body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
60,887,ARD-2701,"معطر جسم ايكون / سبيد","Icon","",body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
61,888,ARD-2706,"معطر جسم ايكون / نيو","Icon","",body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
62,889,ARD-2707,"معطر جسم ايكون / وايرور","Icon","",body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
63,890,ARD-2720,"معطر جسم ايكون / فايتر","Icon","",body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
64,891,ARD-2816,"عطر احلام 80 مل","Wasm","80 مل",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
65,892,ARD-2817,"عطر سفانة 80 مل","Wasm","80 مل",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
66,893,ARD-2818,"عطر وجد 65 مل","Wasm","65 مل",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
67,894,ARD-2820,"عطر سرج 60 مل","Wasm","60 مل",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
68,895,ARD-2822,"عطر ياروحي 85 مل","Wasm","85 مل",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
69,897,ARD-2885,"عطر اوركيد 100 مل","Zebra","100 مل",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
70,898,ARD-2886,"عطر الترا بلو 100 مل","Zebra","100 مل",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
71,899,ARD-2887,"عطر تيوب روز 100 مل","Zebra","100 مل",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
72,900,ARD-2888,"عطر امبر نوير 100 مل","Zebra","100 مل",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
73,901,ARD-2889,"عطر بودري 100 مل","Zebra","100 مل",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
74,902,ARD-2890,"عطر بيور وايت 100 مل","Zebra","100 مل",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
75,903,ARD-2903,"عطر روز اكسبلوس","Zebra","",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
76,904,ARD-2906,"عطر بلو سبيرت","Zebra","",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
77,905,ARD-2907,"عطر امبري روج","Zebra","",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
78,906,ARD-2908,"عطر سويت مافي","Zebra","",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
79,907,ARD-2909,"عطر اميرلند","Zebra","",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
80,908,ARD-2986,"معطر بلو ستورم 200 مل","VURV","200 مل",body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
81,909,ARD-2988,"معطر كلوريوس عود 200 مل","VURV","200 مل",body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
82,910,ARD-2994,"معطر مون برايف 200 مل","VURV","200 مل",body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
83,911,ARD-2995,"معطر يورك 200 مل","VURV","200 مل",body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
84,912,ARD-2998,"معطر جينيس مان 200 مل","VURV","200 مل",body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
85,913,ARD-3001,"معطر كنكلي 200 مل","VURV","200 مل",body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
86,914,ARD-3005,"معطر اوريانا 200 مل","VURV","200 مل",body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
87,915,ARD-3008,"معطر فورايفر يونك مان 200 مل","VURV","200 مل",body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
88,916,ARD-3009,"معطر رومور هوم 200 مل","VURV","200 مل",body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
89,917,ARD-3012,"معطر فونيكس 200 مل","VURV","200 مل",body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
90,918,ARD-3016,"معطر فيرزانت كرستال 200 مل","VURV","200 مل",body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
91,919,ARD-285,"عطر مريم","SMS","",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
92,920,ARD-3151,"معطر جسم روز اكسبوس","Zebra","",body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
93,921,ARD-3152,"معطر جسم بلو سبرايت","Zebra","",body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
94,922,ARD-3153,"معطر جسم توب روز","Zebra","",body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
95,923,ARD-3154,"معطر جسم سويت موافي","Zebra","",body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
96,924,ARD-3155,"معطر جسم اوركيد","Zebra","",body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
97,925,ARD-3156,"معطر جسم بينك ميوسا","Zebra","",body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
98,926,ARD-3157,"معطر جسم اميرلند","Zebra","",body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
99,927,ARD-3158,"معطر جسم بودري","Zebra","",body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
100,928,ARD-3159,"معطر جسم امبر نوير","Zebra","",body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
101,929,ARD-3160,"معطر جسم امبري روج","Zebra","",body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
102,930,ARD-3161,"معطر جسم الترا بلو 100 مل","Zebra","100 مل",body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
103,931,ARD-3162,"معطر جسم بيور وايت 100 مل","Zebra","100 مل",body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
104,932,ARD-3319,"معطر الهيبة 200 مل / جبل","الهيبة","200 مل",body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
105,933,ARD-3320,"معطر الهيبة 200 مل / رانيا","الهيبة","200 مل",body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
106,934,ARD-3322,"معطر الهيبة 200 مل / منى","الهيبة","200 مل",body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
107,935,ARD-3323,"معطر الهيبة 200 مل / مروة","الهيبة","200 مل",body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
108,936,ARD-3324,"معطر الهيبة 200 مل / شاهين","الهيبة","200 مل",body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
109,937,ARD-3325,"معطر الهيبة 200 مل / سلطان","الهيبة","200 مل",body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
110,938,ARD-3326,"معطر الهيبة 200 مل / فهد","الهيبة","200 مل",body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
111,939,ARD-3328,"معطر الهيبة 200 مل / نمر","الهيبة","200 مل",body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
112,940,ARD-3329,"معطر الهيبة 200 مل / صخر","الهيبة","200 مل",body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
113,941,ARD-3330,"معطر الهيبة 200 مل / نور","الهيبة","200 مل",body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
114,953,ARD-3581,"معطر جسم فيرتو 250 مل / جوفا هوم","Virto","250 مل",body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
115,954,ARD-3585,"معطر جسم فيرتو 250 مل / مس دونا","Virto","250 مل",body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
116,955,ARD-3588,"معطر جسم فيرتو 250 مل / نوير انتنس","Virto","250 مل",body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
117,956,ARD-3596,"معطر جسم فيرتو 250 مل / سوليتود هوم","Virto","250 مل",body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
118,957,ARD-3608,"معطر دبدوب مني كرستال لايف بوتفل","Mini Crystal","",home-linen-air,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
119,958,ARD-3609,"معطر دبدوب مني كرستال اكس مني كرستال","Mini Crystal","",home-linen-air,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
120,959,ARD-3610,"معطر دبدوب مني كرستال اوبلنت ليدي","Mini Crystal","",home-linen-air,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
121,960,ARD-3611,"معطر دبدوب مني كرستال روجي هوم","Mini Crystal","",home-linen-air,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
122,961,ARD-3612,"معطر دبدوب مني كرستال سو كات","Mini Crystal","",home-linen-air,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
123,962,ARD-3613,"معطر دبدوب مني كرستال سويت كيل","Mini Crystal","",home-linen-air,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
124,963,ARD-3614,"معطر دبدوب مني كرستال اسينس عود","Mini Crystal","",home-linen-air,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
125,964,ARD-3615,"معطر دبدوب مني كرستال بلو اوروس","Mini Crystal","",home-linen-air,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
126,965,ARD-3616,"معطر دبدوب مني كرستال اوبلنت كولد","Mini Crystal","",home-linen-air,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
127,966,ARD-3617,"معطر دبدوب مني كرستال وايت مسك","Mini Crystal","",home-linen-air,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
128,967,ARD-3618,"معطر دبدوب مني كرستال بور هومي لاكسي","Mini Crystal","",home-linen-air,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
