merchant_sku,cohort,short_char_count,detailed_present,content_flags,short_preview
ARD-1858,batch100,98,true,longevity_claim,عطر يارا من لطافة بحجم 100 مل للنساء، برائحة فاكهية فانيليا أنثوية شهيرة بثبات عالٍ واستخدام يومي.
ARD-2126,batch100,73,false,,عطر بديع العود أميثست من لطافة بحجم 100 مل، برائحة خط بديع العود الرسمية.
ARD-2423,batch100,98,true,,عطر قائد الشباب من لطافة بحجم 100 مل للرجال، برائحة كهرمانية جلدية خشبية مع لمسة عود دافئة وثابتة.
ARD-2436,batch100,102,false,repeated_itr,عطر عطر سقراط من Lattafa بحجم 100 مل، مخصص للرجال بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.
ARD-2437,batch100,113,true,,عطر حياتي الملكي من لطافة بحجم 100 مل، بافتتاحية حمضية وقلب من الخوخ والزعفران والجلد، وقاعدة فانيليا ومسك عنبري.
ARD-2471,batch100,96,true,,عطر عودين من لطافة بحجم 100 مل، بمزيج مشرق من البرتقال والزعفران مع كراميل وعنبر وفانيليا دافئة.
ARD-2493,batch100,104,true,,عطر سمبلي عود من لطافة بحجم 100 مل للجنسين، بتركيبة عودية دافئة مع لمسات زهرية وحارة ولمسة عنبرية ناعمة.
ARD-2494,batch100,101,true,,عطر سطور من لطافة بحجم 100 مل، برائحة فاكهية شرقية غنية مع لمسات دافئة من الفانيليا والأخشاب الناعمة.
ARD-2511,batch100,72,true,,عطر أنا الأبيض بودري من لطافة، إصدار بودري ناعم للجنسين بطابع مسكي أنيق.
ARD-2512,batch100,61,false,,عطر حياتي الذهبي إكسير من لطافة بحجم 100 مل، بطابع دافئ أنيق.
ARD-2515,batch100,98,true,,عطر أنا الأبيض ليذر من لطافة بحجم 60 مل، برائحة جلدية أنيقة مع لمسات حارة وزهرية وقاعدة مسك وعنبر.
ARD-2583,batch100,105,false,repeated_itr,عطر عطر نجدية تربيوت من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.
ARD-2648,batch100,99,true,,عطر الأزل من لطافة بحجم 100 مل، بافتتاحية حمضية عشبية وقلب زهري وقاعدة فانيليا ومسك وخشب أرز دافئة.
ARD-2745,batch100,94,true,,عطر مهرة من لطافة بحجم 100 مل للجنسين، بمزيج حار زهري مع زعفران وورد وقاعدة خشبية مسكية أنيقة.
ARD-2753,batch100,100,true,,عطر أوبلينت ريد من لطافة بحجم 100 مل، برائحة فاكهية زهرية دافئة مع زعفران وكاشمران وقاعدة عنبر وخشب.
ARD-2760,batch100,103,true,,عطر أسد من لطافة بحجم 100 مل للرجال، برائحة كهرمانية قوية مع فلفل أسود وتبغ وقهوة وقاعدة فانيليا وعنبر.
ARD-2765,batch100,99,true,,عطر منى من لطافة بحجم 100 مل، برائحة زهرية فاكهية خفيفة مع بطيخ وورد دمشق وقاعدة مسكية خشبية ناعمة.
ARD-2773,batch100,99,true,,عطر عود مود تذكر من لطافة بحجم 100 مل، برائحة شرقية عودية مع ورد وزعفران وقاعدة فانيليا ومسك وطحلب.
ARD-2793,batch100,91,false,,معطر جو فخر لطافة من لطافة، لتعطير المنزل برائحة فخر الأنيقة المنعشة بحجم منزلي عملي وثابت.
ARD-2797,batch100,94,true,,معطر جو فخر لطافة نسائي من لطافة، يعطّر الأجواء برائحة زهرية أنثوية مستوحاة من عطر فخر للنساء.
ARD-2800,golden10,91,false,,عطر رجالي بحجم 100 مل من RAVE ضمن إصدار Now Intense، بعبوة زرقاء وتصميم عصري من مجموعة Now.
ARD-287,batch100,85,true,,عطر أنا الأبيض من لطافة، رائحة مسكية منعشة للجنسين بطابع نظيف وأنيق للاستخدام اليومي.
ARD-2876,batch100,99,true,,عطر قصائد السلطان من لطافة بحجم 100 مل، برائحة جلدية شرقية دافئة مع عسل وتوابل وقاعدة عود وفانيليا.
ARD-2879,batch100,103,true,,عطر خمرة من لطافة بحجم 100 مل للجنسين، برائحة غورماند حارة مع قرفة وتمر وبراالين وقاعدة فانيليا وتونكا.
ARD-2932,batch100,113,true,,عطر الأوصاف من لطافة بحجم 100 مل، برائحة خشبية راتنجية داكنة مع مر وعود وباتشولي تناسب الأمسيات والأجواء الباردة.
ARD-2933,batch100,105,true,,عطر تميمة من لطافة بحجم 100 مل للنساء، برائحة فاكهية صيفية خفيفة مع توت وكيوي وقلب زهري وقاعدة صندل ومسك.
ARD-308,batch100,89,true,,عطر اختياري (إختياري) من لطافة، عطر فاكهي عطري للجنسين بطابع منعش يناسب الاستخدام اليومي.
ARD-309,batch100,88,true,,عطر وشوشة من لطافة للنساء، بتركيبة زهرية فاكهية ناعمة تناسب الإطلالة اليومية والمناسبات.
ARD-310,batch100,80,true,,عطر رغبة الرجالي من لطافة، بطابع حلو دخاني رجالي يناسب الاستخدام اليومي والمساء.
ARD-311,batch100,72,true,,عطر رمز لطافة الفضي من لطافة للرجال، بتركيبة منعشة حارة بطابع عصري واضح.
ARD-3117,batch100,103,false,repeated_itr,عطر عطر انسام سلفر من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.
ARD-312,batch100,78,true,,عطر إعجازي من لطافة للرجال، بتركيبة عطرية خشبية بطابع قوي يناسب الحضور اليومي.
ARD-3149,batch100,112,true,,عطر يارا موي من لطافة بحجم 100 مل للنساء، برائحة فاكهية زهرية أنثوية مع كمثرى وتيوبيروز وقاعدة فانيليا وكاشمران.
ARD-3240,batch100,109,true,,عطر هيا من لطافة بحجم 100 مل للنساء، برائحة فاكهية زهرية حلوة مع شمبانيا وردية وغاردينيا وقاعدة برالين وعنبر.
ARD-3242,batch100,103,true,,عطر سكينة من لطافة بحجم 100 مل للنساء، برائحة فاكهية غورماند مع باشون فروت وورد وقاعدة برالين وفانيليا.
ARD-3244,batch100,108,true,,عطر تأويل من لطافة بحجم 100 مل للرجال، برائحة عطرية خشبية مع برغموت وزنجبيل ولافندر وقاعدة جلدية وأمبروكسان.
ARD-3245,batch100,110,true,,عطر إيمان من لطافة بحجم 100 مل للنساء، برائحة شيبريه زهرية مع زهر البرتقال وتيوبيروز وقاعدة فانيليا ومسك أبيض.
ARD-3260,batch100,107,true,,عطر ماهر ليغاسي من لطافة بحجم 100 مل للرجال، برائحة حمضية منعشة مع نعناع وأناناس وقاعدة فيتيفير وأمبروكسان.
ARD-3270,golden10,123,true,,عطر نسائي زهري فاكهي بحجم 100 مل من أصداف، يجمع الفراولة والعنب والبرتقال مع باقة زهرية وقاعدة دافئة من العنبر وخشب الصن
ARD-3274,batch100,96,true,,عطر ذوق من لطافة بحجم 80 مل للنساء، بافتتاحية برغموت وليتشي وقلب ورد وبخور وقاعدة عنبر وفيتيفير.
ARD-3347,batch100,137,false,repeated_itr,عطر عطر عود نجدية من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة ويتميز بطابع Oud ض
ARD-3349,batch100,107,true,,عطر أورا من لطافة بحجم 60 مل للجنسين، بافتتاحية زعفران وقلب ياسمين وبلسم تنوب وقاعدة كاشمران ومسك وخشب أرز.
ARD-3350,batch100,94,true,,عطر فلفت روز من لطافة بحجم 100 مل، برائحة وردية مخملية مع هيل وباتشولي وقاعدة سويد وعنبر وعود.
ARD-3351,batch100,102,true,,عطر النبل أمير من لطافة بحجم 100 مل للجنسين، برائحة خشبية حارة مع تفاح وفلفل وردي وقاعدة عود وفيتيفير.
ARD-3352,batch100,101,true,,عطر النبل وزير من لطافة بحجم 100 مل للجنسين، بمزيج فاكهي خشبي مع نعناع وشوكولاتة وقاعدة فانيليا ومسك.
ARD-3353,batch100,108,true,,عطر النبل سفير من لطافة بحجم 100 مل للجنسين، برائحة عطرية خضراء خشبية مع برغموت وأعشاب وقاعدة راتنجية دافئة.
ARD-3531,batch100,94,true,,عطر أجواء من لطافة، برائحة فاكهية زهرية شرقية مع ليتشي وياسمين وورد وقاعدة فانيليا وعنبر وخشب.
ARD-3536,batch100,107,true,,عطر فينتاج راديو من لطافة بحجم 100 مل للجنسين، برائحة عطرية نوستالجية مع لافندر ومريمية وبرقوق وقاعدة صندل.
ARD-3627,batch100,107,true,,عطر لا كولكشن 1910 بايك من لطافة بحجم 100 مل، برائحة وردية فاكهية مع تفاح وأوسمانتوس وقاعدة فانيليا وتونكا.
ARD-3628,batch100,104,true,,عطر لا كولكشن 1886 كار من لطافة برايد بحجم 100 مل، برائحة عطرية دافئة مع قرفة وشوكولاتة بيضاء وتبغ أبيض.
ARD-3709,batch100,93,true,,عطر خمرة قهوة من لطافة بحجم 100 مل للجنسين، برائحة غورماند قهوة وتوابل وفانيليا دافئة وثابتة.
ARD-3710,batch100,62,false,,عطر عجايب دبي من لطافة بحجم 100 مل، بطابع كهرماني حلو للجنسين.
ARD-3711,batch100,122,false,repeated_itr,عطر عطر قائد الفرسان انلمتد ابيض 90 مل من Lattafa بحجم 90 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاص
ARD-3712,batch100,91,false,,عطر يارا توس من لطافة بحجم 100 مل للنساء، بطابع فاكهي فانيليا أنثوي ضمن هوية لطافة الرسمية.
ARD-3714,batch100,104,false,repeated_itr,عطر عطر ليام 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.
ARD-3723,golden10,112,true,,عطر نسائي بحجم 100 مل من RAVE، بطابع فاكهي حلو يبدأ بالفواكه الحمراء والبرتقال وينتهي بالفانيليا والمسك والطحلب.
ARD-3897,batch100,60,false,,عطر بديع العود سبلايم من لطافة بحجم 100 مل، بطابع عودي فاخر.
ARD-4138,batch100,85,true,,عطر إكلير من لطافة للنساء بحجم 100 مل، بتركيبة فانيليا غورماند حلوة بطابع أنثوي جذاب.
ARD-4214,batch100,141,false,repeated_itr,عطر عطر عفيف 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة ويتميز بطابع Afe
ARD-4215,batch100,83,false,,عطر فخر لطافة إكسترايت من لطافة بحجم 100 مل، بطابع دخاني كهرماني ضمن خط فخر الرسمي.
ARD-4246,batch100,67,false,,عطر بديع العود نوبل بلش من لطافة بحجم 100 مل، بطابع عودي زهري أنيق.
ARD-4255,batch100,112,false,repeated_itr,عطر عطر حياتي فلورنس 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.
ARD-4256,batch100,114,false,repeated_itr,عطر عطر انا الابيض كورال 60 مل من Lattafa بحجم 60 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.
ARD-4273,batch100,102,false,,عطر أنغام من لطافة بحجم 100 مل، برائحة دافئة أنيقة تناسب الاستخدام اليومي والمساء بهوية لطافة الرسمية.
ARD-4286,batch100,188,false,repeated_itr,عطر عطر مشربية 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة ويتميز بطابع M
ARD-4300,batch100,113,false,,معطر جو Badee Al Oud White من لطافة بحجم 300 مل، لتعطير المنزل والمفارش برائحة خط العطر الأصلي بتركيز منزلي عملي.
ARD-4336,batch100,109,false,repeated_itr,عطر عطر خمرة دخان 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.
ARD-4564,batch100,101,false,,معطر جو Maahir من لطافة بحجم 300 مل، لتعطير المنزل والمفارش برائحة خط العطر الأصلي بتركيز منزلي عملي.
ARD-463,batch100,83,true,,عطر روعة العود من لطافة، بتركيبة عود خشبية فاخرة للجنسين تناسب الأمسيات والمناسبات.
ARD-4637,batch100,107,false,repeated_itr,عطر عطر اسد بوربون من Lattafa بحجم 100 مل، مخصص للرجال بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.
ARD-465,batch100,89,true,,عطر قمة للنساء من لطافة، بتركيبة غورماند زهرية بطابع أنثوي جذاب للاستخدام اليومي والمساء.
ARD-466,batch100,89,true,,عطر رغبة من لطافة، بتركيبة شرقية حلوة بطابع أنثوي جذاب يناسب الاستخدام اليومي والمناسبات.
ARD-4660,batch100,102,false,repeated_itr,عطر عطر ليان 75 مل من Lattafa بحجم 75 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.
ARD-4664,batch100,60,false,,عطر نبراس إكسير من لطافة برايد بحجم 100 مل، بطابع أنثوي غني.
ARD-467,batch100,73,false,,عطر مسك مود من لطافة بحجم 100 مل، بطابع مسكي ناعم مناسب للاستخدام اليومي.
ARD-4680,batch100,112,false,repeated_itr,عطر عطر شهد كبير 150 مل من Lattafa بحجم 150 مل، مخصص للنساء بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.
ARD-4685,batch100,150,false,repeated_itr,عطر عطر اسد الكسير 100 مل من Lattafa بحجم 100 مل، مخصص للرجال بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة ويتميز
ARD-4686,batch100,115,false,repeated_itr,عطر عطر يارا الكسير 100 مل من Lattafa بحجم 100 مل، مخصص للنساء بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.
ARD-4750,batch100,141,false,,معطر جو Eclaire من لطافة بحجم 300 مل، لتعطير المنزل والمفارش برائحة خط العطر الأصلي بتركيز منزلي عملي ويتميز بطابع Eclai
ARD-4751,batch100,264,false,,معطر جو Musamam White من لطافة بحجم 300 مل، لتعطير المنزل والمفارش برائحة خط العطر الأصلي بتركيز منزلي عملي ويتميز بطابع
ARD-4752,batch100,180,false,,معطر جو Noble Blush من لطافة بحجم 300 مل، لتعطير المنزل والمفارش برائحة خط العطر الأصلي بتركيز منزلي عملي ويتميز بطابع B
ARD-4770,batch100,75,false,,عطر أنا الأبيض سكارليت من لطافة بحجم 100 مل، بطابع أنثوي ضمن خط أنا الأبيض.
ARD-479,batch100,81,true,,عطر قمة الرجالي من لطافة، بتركيبة خشبية حارة بطابع رجالي قوي يناسب الحضور اليومي.
ARD-4792,batch100,52,false,,عطر مسمم إنتنس من لطافة بحجم 100 مل، بطابع قوي ثابت.
ARD-4807,batch100,95,false,,معطر جو نبراس من لطافة برايد بحجم 300 مل، لتعطير المنزل برائحة نبراس الغورماند الدافئة الأنيقة.
ARD-5036,batch100,110,false,repeated_itr,عطر عطر ماهر هونور 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.
ARD-5058,batch100,148,false,repeated_itr,عطر عطر خمرة واحة 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة ويتميز بطاب
ARD-663,batch100,80,true,,عطر أنا الأبيض روج من لطافة، إصدار أحمر بتركيبة فاكهية زهرية للجنسين بطابع حيوي.
ARD-715,batch100,96,true,,عطر رمز لطافة الذهبي من لطافة، بتركيبة زهرية شرقية بطابع فاخر يناسب الاستخدام اليومي والمناسبات.
ARD-766,batch100,67,true,,عطر أوراق العود من لطافة، بتركيبة عود خشبية رجالية بطابع شرقي أصيل.
ARD-775,batch100,115,false,,زيت عطري / مسك عطر مسك السلامه من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.
ARD-823,batch100,76,true,,عطر شيخ الشيوخ من لطافة، بتركيبة عود وعنبر رجالية كلاسيكية بطابع فاخر وثابت.
ARD-92,batch100,108,true,,عطر شيخ الشيوخ المركز من لطافة، بتركيبة عود وعنبر مركّزة بطابع رجالي فاخر يناسب الاستخدام اليومي والمناسبات.
ARD-957,batch100,71,true,,عطر 24 قيراط الذهبي من لطافة، بتركيبة عود وعنبر وفانيليا فاخرة للجنسين.
ARD-958,batch100,72,true,,عطر 24 قيراط الأبيض/السلفر من لطافة، بتركيبة عنبرية خشبية أنيقة للجنسين.
ARD-959,batch100,68,true,,عطر نجدية من لطافة للرجال، بتركيبة منعشة حارة بطابع يومي واضح وثابت.
ARD-970,batch100,71,true,,عطر قائد الفرسان من لطافة، بتركيبة حلوة دخانية رجالية بطابع جريء وثابت.
