merchant_sku,price,discount_price,category_slug,category_active,category_is_root,child_count,price_ok,leaf_ok
ARD-3352,19000,,perfumes,true,false,0,true,true
ARD-3353,19000,,perfumes,true,false,0,true,true
ARD-3531,45000,,perfumes,true,false,0,true,true
ARD-3536,45000,,perfumes,true,false,0,true,true
ARD-3627,65000,,perfumes,true,false,0,true,true
ARD-3628,65000,,perfumes,true,false,0,true,true
ARD-3709,40000,,perfumes,true,false,0,true,true
ARD-3710,20000,,perfumes,true,false,0,true,true
ARD-3711,15000,,perfumes,true,false,0,true,true
ARD-3712,30000,,perfumes,true,false,0,true,true
ARD-3714,25000,,perfumes,true,false,0,true,true
ARD-3723,20000,,perfumes,true,false,0,true,true
ARD-3897,35000,,perfumes,true,false,0,true,true
ARD-4138,40000,,perfumes,true,false,0,true,true
ARD-4214,49000,,perfumes,true,false,0,true,true
ARD-4215,25000,,perfumes,true,false,0,true,true
ARD-4246,35000,,perfumes,true,false,0,true,true
ARD-4255,15000,,perfumes,true,false,0,true,true
ARD-4256,18000,,perfumes,true,false,0,true,true
ARD-4273,29000,,perfumes,true,false,0,true,true
ARD-4286,33000,,perfumes,true,false,0,true,true
ARD-4300,3000,,home-linen-air,true,false,0,true,true
ARD-4336,40000,,perfumes,true,false,0,true,true
ARD-4564,3000,,home-linen-air,true,false,0,true,true
ARD-463,19000,,perfumes,true,false,0,true,true
ARD-4637,30000,,perfumes,true,false,0,true,true
ARD-465,16000,,perfumes,true,false,0,true,true
ARD-466,13000,,perfumes,true,false,0,true,true
ARD-4660,33000,,perfumes,true,false,0,true,true
ARD-4664,45000,,perfumes,true,false,0,true,true
ARD-467,16000,,musk-oils-mukhammaria,true,false,0,true,true
ARD-4680,17000,,perfumes,true,false,0,true,true
ARD-4685,30000,,perfumes,true,false,0,true,true
ARD-4686,30000,,perfumes,true,false,0,true,true
ARD-4750,3000,,home-linen-air,true,false,0,true,true
ARD-4751,3000,,home-linen-air,true,false,0,true,true
ARD-4752,3000,,home-linen-air,true,false,0,true,true
ARD-4770,18000,,perfumes,true,false,0,true,true
ARD-479,15000,,perfumes,true,false,0,true,true
ARD-4792,43000,,perfumes,true,false,0,true,true
ARD-4807,3000,,home-linen-air,true,false,0,true,true
ARD-5036,35000,,perfumes,true,false,0,true,true
ARD-5058,40000,,perfumes,true,false,0,true,true
ARD-663,18000,,perfumes,true,false,0,true,true
ARD-715,17000,,perfumes,true,false,0,true,true
ARD-766,14000,,perfumes,true,false,0,true,true
ARD-775,15000,,musk-oils-mukhammaria,true,false,0,true,true
ARD-823,12000,,perfumes,true,false,0,true,true
ARD-92,14000,,perfumes,true,false,0,true,true
ARD-957,19000,,perfumes,true,false,0,true,true
ARD-958,15000,,perfumes,true,false,0,true,true
ARD-959,15000,,perfumes,true,false,0,true,true
ARD-970,15000,,perfumes,true,false,0,true,true
