merchant_sku,image_url,visual_check_status,identity_status,overall_status,notes,evidence_reference
ARD-2471,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2471.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_01.png
ARD-2493,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2493.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_01.png
ARD-2494,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2494.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_02.png
ARD-2511,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2511.webp,PASS,NEEDS_HUMAN_CONFIRMATION,NEEDS_HUMAN_CONFIRMATION,Identity Poudrée confirmed (I AM WHITE / بودري); bottle size marking may read 60ml vs catalog 100 مل — confirm size before activation,images/ARD-2511.webp
ARD-2512,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2512.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_02.png
ARD-2515,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2515.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_02.png
ARD-2583,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2583.webp,PASS,PASS,FAIL_P2,Contact-sheet + automated exact-match review; product packshot acceptable; content P2 (awkward Arabic / claims) — see defect register,review/PRIVATE_CATALOG_CONTACT_SHEET_02.png
ARD-2648,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2648.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_02.png
ARD-2745,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2745.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_02.png
ARD-2753,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2753.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_02.png
ARD-2760,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2760.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_02.png
ARD-2765,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2765.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_02.png
ARD-2773,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2773.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_02.png
ARD-2793,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2793.webp,FAIL_WRONG_IMAGE,FAIL_WRONG_VARIANT,FAIL_P1,Listing 300ml home spray; image is Fakhar Lattafa EDP perfume bottle/box,review/PRIVATE_CATALOG_CONTACT_SHEET_02.png + images/ARD-2793.webp
ARD-2797,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2797.webp,FAIL_WRONG_IMAGE,FAIL_WRONG_VARIANT,FAIL_P1,Listing 300ml home spray; image is perfume packaging not home spray,review/PRIVATE_CATALOG_CONTACT_SHEET_02.png
ARD-2800,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/products/02d63533-5bc2-4812-9b46-16d3a546c52c.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_02.png
ARD-287,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-287.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_02.png
ARD-2876,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2876.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_02.png
ARD-2879,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2879.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_02.png
ARD-2932,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2932.webp,FAIL_WATERMARK,PASS,FAIL_P2,Correct Al Awsaaf / الاوصاف identity but promotional review overlay text present,images/ARD-2932.webp
ARD-2933,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2933.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_02.png
ARD-308,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-308.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_02.png
ARD-309,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-309.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_03.png
ARD-310,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-310.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_03.png
ARD-311,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-311.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_03.png
ARD-3117,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3117.webp,PASS,PASS,FAIL_P2,Contact-sheet + automated exact-match review; product packshot acceptable; content P2 (awkward Arabic / claims) — see defect register,review/PRIVATE_CATALOG_CONTACT_SHEET_03.png
ARD-312,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-312.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_03.png
ARD-3149,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3149.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_03.png
ARD-3240,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3240.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_03.png
ARD-3242,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3242.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_03.png
ARD-3244,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3244.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_03.png
ARD-3245,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3245.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_03.png
ARD-3260,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3260.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_03.png
ARD-3270,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/products/c57c1c9b-c2d6-4944-a3a5-4f84af28aa28.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_03.png
ARD-3274,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3274.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_03.png
ARD-3347,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3347.webp,PASS,PASS,FAIL_P2,Contact-sheet + automated exact-match review; product packshot acceptable; content P2 (awkward Arabic / claims) — see defect register,review/PRIVATE_CATALOG_CONTACT_SHEET_03.png
ARD-3349,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3349.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_03.png
ARD-3350,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3350.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_03.png
ARD-3351,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3351.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_03.png
ARD-3352,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3352.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_03.png
ARD-3353,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3353.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_03.png
ARD-3531,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3531.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_03.png
ARD-3536,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3536.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_04.png
ARD-3627,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3627.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_04.png
ARD-3628,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3628.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_04.png
ARD-3709,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3709.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_04.png
ARD-3710,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3710.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_04.png
ARD-3711,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3711.webp,PASS,PASS,FAIL_P2,Contact-sheet + automated exact-match review; product packshot acceptable; content P2 (awkward Arabic / claims) — see defect register,review/PRIVATE_CATALOG_CONTACT_SHEET_04.png
ARD-3712,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3712.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_04.png
ARD-3714,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3714.webp,PASS,PASS,FAIL_P2,Contact-sheet + automated exact-match review; product packshot acceptable; content P2 (awkward Arabic / claims) — see defect register,review/PRIVATE_CATALOG_CONTACT_SHEET_04.png
ARD-3723,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/products/5328a361-502c-49c7-8878-194e07feacaa.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_04.png
ARD-3897,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3897.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_04.png
ARD-4138,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-4138.webp,PASS,PASS,PASS,Eclaire / اكلاير confirmed on packaging; mandatory identity PASS,review/PRIVATE_CATALOG_CONTACT_SHEET_04.png
ARD-4214,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-4214.webp,PASS,PASS,FAIL_P2,Contact-sheet + automated exact-match review; product packshot acceptable; content P2 (awkward Arabic / claims) — see defect register,review/PRIVATE_CATALOG_CONTACT_SHEET_04.png
ARD-4215,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-4215.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_04.png
ARD-4246,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-4246.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_04.png
ARD-4255,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-4255.webp,PASS,PASS,FAIL_P2,Contact-sheet + automated exact-match review; product packshot acceptable; content P2 (awkward Arabic / claims) — see defect register,review/PRIVATE_CATALOG_CONTACT_SHEET_04.png
ARD-4256,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-4256.webp,PASS,PASS,FAIL_P2,Contact-sheet + automated exact-match review; product packshot acceptable; content P2 (awkward Arabic / claims) — see defect register,review/PRIVATE_CATALOG_CONTACT_SHEET_04.png
ARD-4273,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-4273.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_04.png
ARD-4286,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-4286.webp,PASS,PASS,FAIL_P2,Contact-sheet + automated exact-match review; product packshot acceptable; content P2 (awkward Arabic / claims) — see defect register,review/PRIVATE_CATALOG_CONTACT_SHEET_04.png
ARD-4300,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-4300.webp,FAIL_WRONG_IMAGE,FAIL_WRONG_VARIANT,FAIL_P1,Listing معطر جو 300 مل; image shows perfume EDP packaging,review/PRIVATE_CATALOG_CONTACT_SHEET_04.png + images/ARD-4300.webp
ARD-4336,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-4336.webp,PASS,PASS,FAIL_P2,Contact-sheet + automated exact-match review; product packshot acceptable; content P2 (awkward Arabic / claims) — see defect register,review/PRIVATE_CATALOG_CONTACT_SHEET_04.png
ARD-4564,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-4564.webp,FAIL_WRONG_IMAGE,FAIL_WRONG_VARIANT,FAIL_P1,Listing معطر جو ماهر 300 مل; image is Maahir 100ml EDP horse-head set,images/ARD-4564.webp
ARD-463,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-463.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_05.png
ARD-4637,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-4637.webp,PASS,PASS,FAIL_P2,Contact-sheet + automated exact-match review; product packshot acceptable; content P2 (awkward Arabic / claims) — see defect register,review/PRIVATE_CATALOG_CONTACT_SHEET_05.png
ARD-465,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-465.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_05.png
ARD-466,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-466.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_05.png
ARD-4660,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-4660.webp,PASS,PASS,FAIL_P2,Contact-sheet + automated exact-match review; product packshot acceptable; content P2 (awkward Arabic / claims) — see defect register,review/PRIVATE_CATALOG_CONTACT_SHEET_05.png
ARD-4664,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-4664.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_05.png
ARD-467,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-467.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_05.png
