merchant_sku,product_id,name,brand,sizes,price,category_slug,image_url,cohort,automated_check_status,identity_status_seed,visual_check_status,reviewer_decision,overall_status,reviewed_at,evidence_reference,notes
ARD-1430,1995f2cc-21d1-4e46-8dbc-89505313c316,عطر امير العود / انتنس عود,Lattafa,100 مل,18000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1430.webp,batch100,PASS,PASS,PASS,PASS,PASS,2026-08-04T15:47:38.947Z,review/PRIVATE_CATALOG_CONTACT_SHEET_01.png,Contact-sheet + automated exact-match review; product packshot acceptable
ARD-1480,df4a2fc0-53bc-45b0-8c5e-032a523c4ada,عطر عود ليل ملكي,Lattafa,100 مل,15000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1480.webp,batch100,PASS,PASS,PASS,PASS,FAIL_P2,2026-08-04T15:47:38.947Z,review/PRIVATE_CATALOG_CONTACT_SHEET_01.png,Contact-sheet + automated exact-match review; product packshot acceptable; content P2 (awkward Arabic / claims) — see defect register
ARD-1826,40e2deb6-4bb6-4a04-b549-00acb617c8f5,عطر ناو اسود,RAVE,100 مل,20000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/products/05a87475-ba64-48d5-a5a9-5252552b7563.webp,golden10,PASS,PASS,PASS,PASS,PASS,2026-08-04T15:47:38.947Z,review/PRIVATE_CATALOG_CONTACT_SHEET_01.png,Contact-sheet + automated exact-match review; product packshot acceptable
ARD-1858,0efda44b-94f2-4352-8de8-ccbfa8c4e224,عطر يارا,Lattafa,100 مل,30000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1858.webp,batch100,PASS,PASS,PASS,PASS,FAIL_P2,2026-08-04T15:47:38.947Z,review/PRIVATE_CATALOG_CONTACT_SHEET_01.png,Contact-sheet + automated exact-match review; product packshot acceptable; content P2 (awkward Arabic / claims) — see defect register
ARD-2126,df231857-3081-4c6a-85e6-18b25b66d9e3,عطر بديع العود اميثست,Lattafa,100 مل,35000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2126.webp,batch100,PASS,PASS,PASS,PASS,PASS,2026-08-04T15:47:38.947Z,review/PRIVATE_CATALOG_CONTACT_SHEET_01.png,Contact-sheet + automated exact-match review; product packshot acceptable
ARD-2423,fcba2e4c-9a35-40cb-a4c3-20820c8a6520,عطر قائد الشباب 100 مل,Lattafa,100 مل,18000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2423.webp,batch100,PASS,PASS,PASS,PASS,PASS,2026-08-04T15:47:38.947Z,review/PRIVATE_CATALOG_CONTACT_SHEET_01.png,Contact-sheet + automated exact-match review; product packshot acceptable
ARD-2436,045101a0-93fd-41b8-8f8c-f812f5557bec,عطر سقراط,Lattafa,100 مل,18000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2436.webp,batch100,PASS,PASS,PASS,PASS,FAIL_P2,2026-08-04T15:47:38.947Z,review/PRIVATE_CATALOG_CONTACT_SHEET_01.png,Contact-sheet + automated exact-match review; product packshot acceptable; content P2 (awkward Arabic / claims) — see defect register
ARD-2437,96597b43-c10c-40f4-8395-c8202ef174a7,عطر حياتي الملكي 100 مل,Lattafa,100 مل,15000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2437.webp,batch100,PASS,PASS,PASS,PASS,PASS,2026-08-04T15:47:38.947Z,review/PRIVATE_CATALOG_CONTACT_SHEET_01.png,Contact-sheet + automated exact-match review; product packshot acceptable
ARD-2471,5a44f177-a1ed-4d91-85b7-b69a4852dfb9,عطر عودين 100 مل,Lattafa,100 مل,16000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2471.webp,batch100,PASS,PASS,PASS,PASS,PASS,2026-08-04T15:47:38.947Z,review/PRIVATE_CATALOG_CONTACT_SHEET_01.png,Contact-sheet + automated exact-match review; product packshot acceptable
ARD-2493,07b9cf6e-a45d-4528-8567-72bd87612588,عطر سمبلي عود 100 مل,Lattafa,100 مل,19000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2493.webp,batch100,PASS,PASS,PASS,PASS,PASS,2026-08-04T15:47:38.947Z,review/PRIVATE_CATALOG_CONTACT_SHEET_01.png,Contact-sheet + automated exact-match review; product packshot acceptable
ARD-2494,8803b56e-51ad-49b9-86af-13fb8b98ad2f,عطر سطور 100 مل,Lattafa,100 مل,20000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2494.webp,batch100,PASS,PASS,PASS,PASS,PASS,2026-08-04T15:47:38.947Z,review/PRIVATE_CATALOG_CONTACT_SHEET_02.png,Contact-sheet + automated exact-match review; product packshot acceptable
ARD-2511,50e81234-f7ae-41d3-9e47-63afc2e64e54,عطر انا الابيض بودري,Lattafa,100 مل,18000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2511.webp,batch100,PASS,PASS,PASS,NEEDS_HUMAN_CONFIRMATION,NEEDS_HUMAN_CONFIRMATION,2026-08-04T15:47:38.947Z,images/ARD-2511.webp,Identity Poudrée confirmed (I AM WHITE / بودري); bottle size marking may read 60ml vs catalog 100 مل — confirm size before activation
ARD-2512,42b8a1b0-cb71-4540-8e5b-88649153587f,عطر حياتي ذهبي الكسير,Lattafa,100 مل,15000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2512.webp,batch100,PASS,PASS,PASS,PASS,PASS,2026-08-04T15:47:38.947Z,review/PRIVATE_CATALOG_CONTACT_SHEET_02.png,Contact-sheet + automated exact-match review; product packshot acceptable
ARD-2515,0c7b9665-d267-4daf-bd5b-cd3e09af28a5,عطر انا الابيض لذر 60 مل,Lattafa,60 مل,16000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2515.webp,batch100,PASS,PASS,PASS,PASS,PASS,2026-08-04T15:47:38.947Z,review/PRIVATE_CATALOG_CONTACT_SHEET_02.png,Contact-sheet + automated exact-match review; product packshot acceptable
ARD-2583,f61f42fc-8956-46f2-a544-64f9ba0bdd30,عطر نجدية تربيوت,Lattafa,100 مل,14000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2583.webp,batch100,PASS,PASS,PASS,PASS,FAIL_P2,2026-08-04T15:47:38.947Z,review/PRIVATE_CATALOG_CONTACT_SHEET_02.png,Contact-sheet + automated exact-match review; product packshot acceptable; content P2 (awkward Arabic / claims) — see defect register
ARD-2648,3430e3a1-d7c2-4ccc-af19-0ce9dbaaf30f,عطر الازل 100 مل,Lattafa,100 مل,14000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2648.webp,batch100,PASS,PASS,PASS,PASS,PASS,2026-08-04T15:47:38.947Z,review/PRIVATE_CATALOG_CONTACT_SHEET_02.png,Contact-sheet + automated exact-match review; product packshot acceptable
ARD-2745,1bd28cea-3159-40a8-a6a8-2c796e158bb3,عطر مهرة 100 مل,Lattafa,100 مل,19000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2745.webp,batch100,PASS,PASS,PASS,PASS,PASS,2026-08-04T15:47:38.947Z,review/PRIVATE_CATALOG_CONTACT_SHEET_02.png,Contact-sheet + automated exact-match review; product packshot acceptable
ARD-2753,a990f968-2c45-41c7-b123-5b07ede68aa1,عطر اوبلينت ريد 100 مل,Lattafa,100 مل,14000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2753.webp,batch100,PASS,PASS,PASS,PASS,PASS,2026-08-04T15:47:38.947Z,review/PRIVATE_CATALOG_CONTACT_SHEET_02.png,Contact-sheet + automated exact-match review; product packshot acceptable
ARD-2760,a733d687-ad6d-4a21-9d23-4ef4c24650ba,عطر اسد 100 مل,Lattafa,100 مل,30000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2760.webp,batch100,PASS,PASS,PASS,PASS,PASS,2026-08-04T15:47:38.947Z,review/PRIVATE_CATALOG_CONTACT_SHEET_02.png,Contact-sheet + automated exact-match review; product packshot acceptable
ARD-2765,7ed1c7c0-9451-4da2-8509-e8b7c79a897b,عطر منى 100 مل,Lattafa,100 مل,14000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2765.webp,batch100,PASS,PASS,PASS,PASS,PASS,2026-08-04T15:47:38.947Z,review/PRIVATE_CATALOG_CONTACT_SHEET_02.png,Contact-sheet + automated exact-match review; product packshot acceptable
ARD-2773,25807a80-5272-47f6-9356-b58c4179d214,عطر عود مود تذكر 100 مل,Lattafa,100 مل,19000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2773.webp,batch100,PASS,PASS,PASS,PASS,PASS,2026-08-04T15:47:38.947Z,review/PRIVATE_CATALOG_CONTACT_SHEET_02.png,Contact-sheet + automated exact-match review; product packshot acceptable
ARD-2793,0ad730ac-da6f-4493-a333-b816b58b308d,معطر جو لطافة جديد فخر لطافة هوم,Lattafa,300 مل,3000,home-linen-air,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2793.webp,batch100,PASS,PASS,FAIL_WRONG_IMAGE,FAIL_WRONG_VARIANT,FAIL_P1,2026-08-04T15:47:38.947Z,review/PRIVATE_CATALOG_CONTACT_SHEET_02.png + images/ARD-2793.webp,Listing 300ml home spray; image is Fakhar Lattafa EDP perfume bottle/box
ARD-2797,a4fdeaaf-ef5d-4464-9d98-a2f2e2e79e16,معطر جو لطافة جديد فخر لطافة نسائي,Lattafa,300 مل,3000,home-linen-air,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2797.webp,batch100,PASS,PASS,FAIL_WRONG_IMAGE,FAIL_WRONG_VARIANT,FAIL_P1,2026-08-04T15:47:38.947Z,review/PRIVATE_CATALOG_CONTACT_SHEET_02.png,Listing 300ml home spray; image is perfume packaging not home spray
ARD-2800,5893b483-9ff1-487d-a721-20f5a20efea7,عطر ناو انتينس ازرق,RAVE,100 مل,20000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/products/02d63533-5bc2-4812-9b46-16d3a546c52c.webp,golden10,PASS,PASS,PASS,PASS,PASS,2026-08-04T15:47:38.947Z,review/PRIVATE_CATALOG_CONTACT_SHEET_02.png,Contact-sheet + automated exact-match review; product packshot acceptable
ARD-287,0210fcbf-9ca9-4279-910c-9814835511d9,عطر انا الابيض,Lattafa,100 مل,18000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-287.webp,batch100,PASS,PASS,PASS,PASS,PASS,2026-08-04T15:47:38.947Z,review/PRIVATE_CATALOG_CONTACT_SHEET_02.png,Contact-sheet + automated exact-match review; product packshot acceptable
ARD-2876,7690edb5-05cc-4972-a2be-d0b98afb0aab,عطر قصائد السلطان 100 مل,Lattafa,100 مل,15000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2876.webp,batch100,PASS,PASS,PASS,PASS,PASS,2026-08-04T15:47:38.947Z,review/PRIVATE_CATALOG_CONTACT_SHEET_02.png,Contact-sheet + automated exact-match review; product packshot acceptable
ARD-2879,c256c0f3-a76f-4e9f-a6e2-0c06b7cf3221,عطر خمرة 100 مل,Lattafa,100 مل,40000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2879.webp,batch100,PASS,PASS,PASS,PASS,PASS,2026-08-04T15:47:38.947Z,review/PRIVATE_CATALOG_CONTACT_SHEET_02.png,Contact-sheet + automated exact-match review; product packshot acceptable
ARD-2932,eec78115-f3cd-4e5d-8cbe-0b71f92f27f6,عطر الاوصاف 100 مل,Lattafa,100 مل,13000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2932.webp,batch100,PASS,PASS,FAIL_WATERMARK,PASS,FAIL_P2,2026-08-04T15:47:38.947Z,images/ARD-2932.webp,Correct Al Awsaaf / الاوصاف identity but promotional review overlay text present
ARD-2933,0a6fc7e8-181a-4f3b-8563-6d583ae8f243,عطر تميمة 100 مل,Lattafa,100 مل,16000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2933.webp,batch100,PASS,PASS,PASS,PASS,PASS,2026-08-04T15:47:38.947Z,review/PRIVATE_CATALOG_CONTACT_SHEET_02.png,Contact-sheet + automated exact-match review; product packshot acceptable
ARD-308,6bae4a29-eefb-4033-9158-1b232a7ea144,عطر اختياري,Lattafa,100 مل,12000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-308.webp,batch100,PASS,PASS,PASS,PASS,PASS,2026-08-04T15:47:38.947Z,review/PRIVATE_CATALOG_CONTACT_SHEET_02.png,Contact-sheet + automated exact-match review; product packshot acceptable
ARD-309,d5ecc6a9-006d-4d62-b747-7826a7181010,عطر وشوشه,Lattafa,100 مل,15000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-309.webp,batch100,PASS,PASS,PASS,PASS,PASS,2026-08-04T15:47:38.947Z,review/PRIVATE_CATALOG_CONTACT_SHEET_03.png,Contact-sheet + automated exact-match review; product packshot acceptable
ARD-310,ccbdb71f-388d-46e0-8a84-8ccd062c9ba5,عطر رغبه رجالي,Lattafa,100 مل,14000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-310.webp,batch100,PASS,PASS,PASS,PASS,PASS,2026-08-04T15:47:38.947Z,review/PRIVATE_CATALOG_CONTACT_SHEET_03.png,Contact-sheet + automated exact-match review; product packshot acceptable
ARD-311,147aae07-ae36-4406-acab-d8edbeded244,عطر رمز لطافه فضي,Lattafa,100 مل,17000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-311.webp,batch100,PASS,PASS,PASS,PASS,PASS,2026-08-04T15:47:38.947Z,review/PRIVATE_CATALOG_CONTACT_SHEET_03.png,Contact-sheet + automated exact-match review; product packshot acceptable
ARD-3117,a246eabe-ca06-4def-9ab8-63f994fcf0b4,عطر انسام سلفر,Lattafa,100 مل,45000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3117.webp,batch100,PASS,PASS,PASS,PASS,FAIL_P2,2026-08-04T15:47:38.947Z,review/PRIVATE_CATALOG_CONTACT_SHEET_03.png,Contact-sheet + automated exact-match review; product packshot acceptable; content P2 (awkward Arabic / claims) — see defect register
ARD-312,9a52adc8-3c64-419c-a638-5febf80a3276,عطر اعجازي لطافة,Lattafa,90 مل,15000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-312.webp,batch100,PASS,PASS,PASS,PASS,PASS,2026-08-04T15:47:38.947Z,review/PRIVATE_CATALOG_CONTACT_SHEET_03.png,Contact-sheet + automated exact-match review; product packshot acceptable
ARD-3149,8f62c791-3da1-48d1-8ec0-220b6d53e562,عطر يارا موي 100 مل,Lattafa,100 مل,30000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3149.webp,batch100,PASS,PASS,PASS,PASS,PASS,2026-08-04T15:47:38.947Z,review/PRIVATE_CATALOG_CONTACT_SHEET_03.png,Contact-sheet + automated exact-match review; product packshot acceptable
ARD-3240,801dcc70-f6e5-4dbc-a9e3-066505d8dc80,عطر هيا 100 مل,Lattafa,100 مل,30000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3240.webp,batch100,PASS,PASS,PASS,PASS,PASS,2026-08-04T15:47:38.947Z,review/PRIVATE_CATALOG_CONTACT_SHEET_03.png,Contact-sheet + automated exact-match review; product packshot acceptable
ARD-3242,021c053a-6dc8-4228-be82-ae118c26187b,عطر سكينة 100 مل,Lattafa,100 مل,30000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3242.webp,batch100,PASS,PASS,PASS,PASS,PASS,2026-08-04T15:47:38.947Z,review/PRIVATE_CATALOG_CONTACT_SHEET_03.png,Contact-sheet + automated exact-match review; product packshot acceptable
ARD-3244,aa94896d-f737-4e5f-8c5b-15578d3f23b8,عطر تاويل 100 مل,Lattafa,100 مل,27000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3244.webp,batch100,PASS,PASS,PASS,PASS,PASS,2026-08-04T15:47:38.947Z,review/PRIVATE_CATALOG_CONTACT_SHEET_03.png,Contact-sheet + automated exact-match review; product packshot acceptable
ARD-3245,9f74b366-927b-4601-a15b-a402ccff081d,عطر ايمان 100 مل,Lattafa,100 مل,30000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3245.webp,batch100,PASS,PASS,PASS,PASS,PASS,2026-08-04T15:47:38.947Z,review/PRIVATE_CATALOG_CONTACT_SHEET_03.png,Contact-sheet + automated exact-match review; product packshot acceptable
ARD-3260,6b13c3a2-f7da-4aab-bf42-678fa3d768cd,عطر ماهر لاغسي 100 مل,Lattafa,100 مل,35000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3260.webp,batch100,PASS,PASS,PASS,PASS,PASS,2026-08-04T15:47:38.947Z,review/PRIVATE_CATALOG_CONTACT_SHEET_03.png,Contact-sheet + automated exact-match review; product packshot acceptable
ARD-3270,f59acf15-c62f-4e8e-9844-98d11df16a16,عطر اميرة العرب برايف روز 100 مل,Asdaaf,100 مل,16000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/products/c57c1c9b-c2d6-4944-a3a5-4f84af28aa28.webp,golden10,PASS,PASS,PASS,PASS,PASS,2026-08-04T15:47:38.947Z,review/PRIVATE_CATALOG_CONTACT_SHEET_03.png,Contact-sheet + automated exact-match review; product packshot acceptable
ARD-3274,d8cdb9d2-5441-4dee-b4bb-c1d4c23787eb,عطر ذوق 80 مل,Lattafa,80 مل,45000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3274.webp,batch100,PASS,PASS,PASS,PASS,PASS,2026-08-04T15:47:38.947Z,review/PRIVATE_CATALOG_CONTACT_SHEET_03.png,Contact-sheet + automated exact-match review; product packshot acceptable
ARD-3347,72d976c6-769c-43f0-b8f3-3878685b2070,عطر عود نجدية,Lattafa,100 مل,14000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3347.webp,batch100,PASS,PASS,PASS,PASS,FAIL_P2,2026-08-04T15:47:38.947Z,review/PRIVATE_CATALOG_CONTACT_SHEET_03.png,Contact-sheet + automated exact-match review; product packshot acceptable; content P2 (awkward Arabic / claims) — see defect register
ARD-3349,b5173fb9-b143-41a0-9231-06093445f0e3,عطر اورا 60 مل,Lattafa,60 مل,26000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3349.webp,batch100,PASS,PASS,PASS,PASS,PASS,2026-08-04T15:47:38.947Z,review/PRIVATE_CATALOG_CONTACT_SHEET_03.png,Contact-sheet + automated exact-match review; product packshot acceptable
ARD-3350,5cc4a9cf-684f-4452-b1aa-8b0e78208dc6,عطر فلفت روز 100 مل,Lattafa,100 مل,23000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-3350.webp,batch100,PASS,PASS,PASS,PASS,PASS,2026-08-04T15:47:38.947Z,review/PRIVATE_CATALOG_CONTACT_SHEET_03.png,Contact-sheet + automated exact-match review; product packshot acceptable
