merchant_sku,current_text,proposed_text,exact_reason,source_evidence,confidence,char_count,approval_status,decision_status
ARD-4255,عطر عطر حياتي فلورنس 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,عطر حياتي فلورنس 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,remove duplicated عطر,QA defect register 09_DEFECT_REGISTER.csv + Batch100 import CSV,high,108,PROPOSED_PENDING_EXECUTION_AUTH,READY_FOR_EXECUTION_REVIEW
ARD-4256,عطر عطر انا الابيض كورال 60 مل من Lattafa بحجم 60 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,عطر انا الابيض كورال 60 مل من Lattafa بحجم 60 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,remove duplicated عطر,QA defect register 09_DEFECT_REGISTER.csv + Batch100 import CSV,high,110,PROPOSED_PENDING_EXECUTION_AUTH,READY_FOR_EXECUTION_REVIEW
ARD-4286,عطر عطر مشربية 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة ويتميز بطابع Mashrabya ضمن تشكيلة موثّقة ويتميز بطابع Mashrabya ضمن تشكيلة موثّقة.,عطر مشربية 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة ويتميز بطابع Mashrabya ضمن تشكيلة موثّقة.,remove duplicated عطر and duplicated Mashrabya clause,QA defect register 09_DEFECT_REGISTER.csv + Batch100 import CSV,high,143,PROPOSED_PENDING_EXECUTION_AUTH,READY_FOR_EXECUTION_REVIEW
ARD-4336,عطر عطر خمرة دخان 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,عطر خمرة دخان 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,remove duplicated عطر,QA defect register 09_DEFECT_REGISTER.csv + Batch100 import CSV,high,105,PROPOSED_PENDING_EXECUTION_AUTH,READY_FOR_EXECUTION_REVIEW
ARD-4637,عطر عطر اسد بوربون من Lattafa بحجم 100 مل، مخصص للرجال بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,عطر اسد بوربون من Lattafa بحجم 100 مل، مخصص للرجال بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,remove duplicated عطر,QA defect register 09_DEFECT_REGISTER.csv + Batch100 import CSV,high,103,PROPOSED_PENDING_EXECUTION_AUTH,READY_FOR_EXECUTION_REVIEW
ARD-4660,عطر عطر ليان 75 مل من Lattafa بحجم 75 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,عطر ليان 75 مل من Lattafa بحجم 75 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,remove duplicated عطر,QA defect register 09_DEFECT_REGISTER.csv + Batch100 import CSV,high,98,PROPOSED_PENDING_EXECUTION_AUTH,READY_FOR_EXECUTION_REVIEW
ARD-4680,عطر عطر شهد كبير 150 مل من Lattafa بحجم 150 مل، مخصص للنساء بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,عطر شهد كبير 150 مل من Lattafa بحجم 150 مل، مخصص للنساء بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,remove duplicated عطر,QA defect register 09_DEFECT_REGISTER.csv + Batch100 import CSV,high,108,PROPOSED_PENDING_EXECUTION_AUTH,READY_FOR_EXECUTION_REVIEW
ARD-4685,عطر عطر اسد الكسير 100 مل من Lattafa بحجم 100 مل، مخصص للرجال بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة ويتميز بطابع Asad ضمن تشكيلة موثّقة.,عطر اسد الكسير 100 مل من Lattafa بحجم 100 مل، مخصص للرجال بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة ويتميز بطابع Asad ضمن تشكيلة موثّقة.,remove duplicated عطر,QA defect register 09_DEFECT_REGISTER.csv + Batch100 import CSV,high,146,PROPOSED_PENDING_EXECUTION_AUTH,READY_FOR_EXECUTION_REVIEW
ARD-4686,عطر عطر يارا الكسير 100 مل من Lattafa بحجم 100 مل، مخصص للنساء بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,عطر يارا الكسير 100 مل من Lattafa بحجم 100 مل، مخصص للنساء بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,remove duplicated عطر,QA defect register 09_DEFECT_REGISTER.csv + Batch100 import CSV,high,111,PROPOSED_PENDING_EXECUTION_AUTH,READY_FOR_EXECUTION_REVIEW
ARD-5036,عطر عطر ماهر هونور 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,عطر ماهر هونور 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,remove duplicated عطر,QA defect register 09_DEFECT_REGISTER.csv + Batch100 import CSV,high,106,PROPOSED_PENDING_EXECUTION_AUTH,READY_FOR_EXECUTION_REVIEW
ARD-5058,عطر عطر خمرة واحة 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة ويتميز بطابع Khamrah ضمن تشكيلة موثّقة.,عطر خمرة واحة 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة ويتميز بطابع Khamrah ضمن تشكيلة موثّقة.,remove duplicated عطر,QA defect register 09_DEFECT_REGISTER.csv + Batch100 import CSV,high,144,PROPOSED_PENDING_EXECUTION_AUTH,READY_FOR_EXECUTION_REVIEW
