merchant_sku,field,current_value,proposed_value,severity,issue_type,source_reference,confidence,decision_status,requires_human_approval,production_apply_status
ARD-823,image_url,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-823.webp,local:docs/product-import/ard-al-khaleej/private-catalog-fix-plan/assets/ARD-823.webp,P1,wrong_size_set_image,https://www.lattafa.my/perfumes/lattafa/sheikh-al-shuyukh/,high,READY_FOR_EXECUTION_REVIEW,true,NOT_AUTHORIZED
ARD-823,sizes,100 مل,50 مل,P1,correct_size_to_50ml_set,https://www.lattafa.my/perfumes/lattafa/sheikh-al-shuyukh/,high,READY_FOR_EXECUTION_REVIEW,true,NOT_AUTHORIZED
ARD-823,name,عطر شيخ الشيوخ,عطر شيخ الشيوخ 50 مل مع مزيل عرق,P1,correct_size_to_50ml_set,https://www.lattafa.my/perfumes/lattafa/sheikh-al-shuyukh/,high,READY_FOR_EXECUTION_REVIEW,true,NOT_AUTHORIZED
ARD-2511,image_url,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2511.webp,local:docs/product-import/ard-al-khaleej/private-catalog-fix-plan/assets/ARD-2511.webp,P2,size_confirmation_60ml,https://www.lattafa.my/perfumes/lattafa/ana-abiyedh-poudree/,high,READY_FOR_EXECUTION_REVIEW,true,NOT_AUTHORIZED
ARD-2511,sizes,100 مل,60 مل,P2,VERIFIED_60ML,https://www.lattafa.my/perfumes/lattafa/ana-abiyedh-poudree/ + bottle etch 60 ml,high,READY_FOR_EXECUTION_REVIEW,true,NOT_AUTHORIZED
ARD-2932,image_url,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2932.webp,local:docs/product-import/ard-al-khaleej/private-catalog-fix-plan/assets/ARD-2932.webp,P2,promotional_overlay,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Al-Awsaaf-89895.html,medium,READY_FOR_EXECUTION_REVIEW,true,NOT_AUTHORIZED
ARD-1369,short_description,عطر عطر الدر المكنون سلفر من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,عطر الدر المكنون سلفر من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,P2,remove duplicated عطر,09_DEFECT_REGISTER.csv,high,READY_FOR_EXECUTION_REVIEW,false,NOT_AUTHORIZED
ARD-1480,short_description,عطر عطر عود ليل ملكي من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,عطر عود ليل ملكي من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,P2,remove duplicated عطر,09_DEFECT_REGISTER.csv,high,READY_FOR_EXECUTION_REVIEW,false,NOT_AUTHORIZED
ARD-1858,short_description,عطر يارا من لطافة بحجم 100 مل للنساء، برائحة فاكهية فانيليا أنثوية شهيرة بثبات عالٍ واستخدام يومي.,عطر يارا من لطافة بحجم 100 مل للنساء، برائحة فاكهية وفانيليا بطابع أنثوي ناعم يناسب الاستخدام اليومي.,P2,remove unsupported ثبات عالٍ,09_DEFECT_REGISTER.csv,high,READY_FOR_EXECUTION_REVIEW,false,NOT_AUTHORIZED
ARD-2436,short_description,عطر عطر سقراط من Lattafa بحجم 100 مل، مخصص للرجال بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,عطر سقراط من Lattafa بحجم 100 مل، مخصص للرجال بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,P2,remove duplicated عطر,09_DEFECT_REGISTER.csv,high,READY_FOR_EXECUTION_REVIEW,false,NOT_AUTHORIZED
ARD-2583,short_description,عطر عطر نجدية تربيوت من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,عطر نجدية تربيوت من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,P2,remove duplicated عطر,09_DEFECT_REGISTER.csv,high,READY_FOR_EXECUTION_REVIEW,false,NOT_AUTHORIZED
ARD-3117,short_description,عطر عطر انسام سلفر من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,عطر انسام سلفر من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,P2,remove duplicated عطر,09_DEFECT_REGISTER.csv,high,READY_FOR_EXECUTION_REVIEW,false,NOT_AUTHORIZED
ARD-3347,short_description,عطر عطر عود نجدية من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة ويتميز بطابع Oud ضمن تشكيلة موثّقة.,عطر عود نجدية من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة ويتميز بطابع Oud ضمن تشكيلة موثّقة.,P2,remove duplicated عطر,09_DEFECT_REGISTER.csv,high,READY_FOR_EXECUTION_REVIEW,false,NOT_AUTHORIZED
ARD-3711,short_description,عطر عطر قائد الفرسان انلمتد ابيض 90 مل من Lattafa بحجم 90 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,عطر قائد الفرسان انلمتد ابيض 90 مل من Lattafa بحجم 90 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,P2,remove duplicated عطر,09_DEFECT_REGISTER.csv,high,READY_FOR_EXECUTION_REVIEW,false,NOT_AUTHORIZED
ARD-3714,short_description,عطر عطر ليام 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,عطر ليام 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,P2,remove duplicated عطر,09_DEFECT_REGISTER.csv,high,READY_FOR_EXECUTION_REVIEW,false,NOT_AUTHORIZED
ARD-4214,short_description,عطر عطر عفيف 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة ويتميز بطابع Afeef ضمن تشكيلة موثّقة.,عطر عفيف 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة ويتميز بطابع Afeef ضمن تشكيلة موثّقة.,P2,remove duplicated عطر,09_DEFECT_REGISTER.csv,high,READY_FOR_EXECUTION_REVIEW,false,NOT_AUTHORIZED
ARD-4255,short_description,عطر عطر حياتي فلورنس 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,عطر حياتي فلورنس 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,P2,remove duplicated عطر,09_DEFECT_REGISTER.csv,high,READY_FOR_EXECUTION_REVIEW,false,NOT_AUTHORIZED
ARD-4256,short_description,عطر عطر انا الابيض كورال 60 مل من Lattafa بحجم 60 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,عطر انا الابيض كورال 60 مل من Lattafa بحجم 60 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,P2,remove duplicated عطر,09_DEFECT_REGISTER.csv,high,READY_FOR_EXECUTION_REVIEW,false,NOT_AUTHORIZED
ARD-4286,short_description,عطر عطر مشربية 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة ويتميز بطابع Mashrabya ضمن تشكيلة موثّقة ويتميز بطابع Mashrabya ضمن تشكيلة موثّقة.,عطر مشربية 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة ويتميز بطابع Mashrabya ضمن تشكيلة موثّقة.,P2,remove duplicated عطر and duplicated Mashrabya clause,09_DEFECT_REGISTER.csv,high,READY_FOR_EXECUTION_REVIEW,false,NOT_AUTHORIZED
ARD-4336,short_description,عطر عطر خمرة دخان 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,عطر خمرة دخان 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,P2,remove duplicated عطر,09_DEFECT_REGISTER.csv,high,READY_FOR_EXECUTION_REVIEW,false,NOT_AUTHORIZED
ARD-4637,short_description,عطر عطر اسد بوربون من Lattafa بحجم 100 مل، مخصص للرجال بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,عطر اسد بوربون من Lattafa بحجم 100 مل، مخصص للرجال بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,P2,remove duplicated عطر,09_DEFECT_REGISTER.csv,high,READY_FOR_EXECUTION_REVIEW,false,NOT_AUTHORIZED
ARD-4660,short_description,عطر عطر ليان 75 مل من Lattafa بحجم 75 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,عطر ليان 75 مل من Lattafa بحجم 75 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,P2,remove duplicated عطر,09_DEFECT_REGISTER.csv,high,READY_FOR_EXECUTION_REVIEW,false,NOT_AUTHORIZED
ARD-4680,short_description,عطر عطر شهد كبير 150 مل من Lattafa بحجم 150 مل، مخصص للنساء بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,عطر شهد كبير 150 مل من Lattafa بحجم 150 مل، مخصص للنساء بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,P2,remove duplicated عطر,09_DEFECT_REGISTER.csv,high,READY_FOR_EXECUTION_REVIEW,false,NOT_AUTHORIZED
ARD-4685,short_description,عطر عطر اسد الكسير 100 مل من Lattafa بحجم 100 مل، مخصص للرجال بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة ويتميز بطابع Asad ضمن تشكيلة موثّقة.,عطر اسد الكسير 100 مل من Lattafa بحجم 100 مل، مخصص للرجال بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة ويتميز بطابع Asad ضمن تشكيلة موثّقة.,P2,remove duplicated عطر,09_DEFECT_REGISTER.csv,high,READY_FOR_EXECUTION_REVIEW,false,NOT_AUTHORIZED
ARD-4686,short_description,عطر عطر يارا الكسير 100 مل من Lattafa بحجم 100 مل، مخصص للنساء بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,عطر يارا الكسير 100 مل من Lattafa بحجم 100 مل، مخصص للنساء بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,P2,remove duplicated عطر,09_DEFECT_REGISTER.csv,high,READY_FOR_EXECUTION_REVIEW,false,NOT_AUTHORIZED
ARD-5036,short_description,عطر عطر ماهر هونور 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,عطر ماهر هونور 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,P2,remove duplicated عطر,09_DEFECT_REGISTER.csv,high,READY_FOR_EXECUTION_REVIEW,false,NOT_AUTHORIZED
ARD-5058,short_description,عطر عطر خمرة واحة 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة ويتميز بطابع Khamrah ضمن تشكيلة موثّقة.,عطر خمرة واحة 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة ويتميز بطابع Khamrah ضمن تشكيلة موثّقة.,P2,remove duplicated عطر,09_DEFECT_REGISTER.csv,high,READY_FOR_EXECUTION_REVIEW,false,NOT_AUTHORIZED
