merchant_sku,cohort,image_url,name,brand,sizes,category_slug,slug,short_description,stock,is_active,is_published,visibility_status,match_proposed,execution_status,production_storage_writes,production_db_writes
ARD-1858,affected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1858.webp,عطر يارا,Lattafa,100 مل,perfumes,عطر-يارا-ard-1858,عطر يارا من لطافة بحجم 100 مل للنساء، برائحة فاكهية وفانيليا بطابع أنثوي ناعم يناسب الاستخدام اليومي.,0,false,false,private,YES,EXECUTED,YES,YES
ARD-2126,unaffected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2126.webp,عطر بديع العود اميثست,Lattafa,100 مل,perfumes,عطر-بديع-العود-اميثست-ard-2126,عطر بديع العود أميثست من لطافة بحجم 100 مل، برائحة خط بديع العود الرسمية.,0,false,false,private,N/A_BASELINE_EXACT,EXECUTED,YES,YES
ARD-2423,unaffected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2423.webp,عطر قائد الشباب 100 مل,Lattafa,100 مل,perfumes,عطر-قائد-الشباب-100-مل-ard-2423,عطر قائد الشباب من لطافة بحجم 100 مل للرجال، برائحة كهرمانية جلدية خشبية مع لمسة عود دافئة وثابتة.,0,false,false,private,N/A_BASELINE_EXACT,EXECUTED,YES,YES
ARD-2436,affected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2436.webp,عطر سقراط,Lattafa,100 مل,perfumes,عطر-سقراط-ard-2436,عطر سقراط من Lattafa بحجم 100 مل، مخصص للرجال بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,0,false,false,private,YES,EXECUTED,YES,YES
ARD-2437,unaffected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2437.webp,عطر حياتي الملكي 100 مل,Lattafa,100 مل,perfumes,عطر-حياتي-الملكي-100-مل-ard-2437,عطر حياتي الملكي من لطافة بحجم 100 مل، بافتتاحية حمضية وقلب من الخوخ والزعفران والجلد، وقاعدة فانيليا ومسك عنبري.,0,false,false,private,N/A_BASELINE_EXACT,EXECUTED,YES,YES
ARD-2471,unaffected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2471.webp,عطر عودين 100 مل,Lattafa,100 مل,perfumes,عطر-عودين-100-مل-ard-2471,عطر عودين من لطافة بحجم 100 مل، بمزيج مشرق من البرتقال والزعفران مع كراميل وعنبر وفانيليا دافئة.,0,false,false,private,N/A_BASELINE_EXACT,EXECUTED,YES,YES
ARD-2493,unaffected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2493.webp,عطر سمبلي عود 100 مل,Lattafa,100 مل,perfumes,عطر-سمبلي-عود-100-مل-ard-2493,عطر سمبلي عود من لطافة بحجم 100 مل للجنسين، بتركيبة عودية دافئة مع لمسات زهرية وحارة ولمسة عنبرية ناعمة.,0,false,false,private,N/A_BASELINE_EXACT,EXECUTED,YES,YES
ARD-2494,unaffected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2494.webp,عطر سطور 100 مل,Lattafa,100 مل,perfumes,عطر-سطور-100-مل-ard-2494,عطر سطور من لطافة بحجم 100 مل، برائحة فاكهية شرقية غنية مع لمسات دافئة من الفانيليا والأخشاب الناعمة.,0,false,false,private,N/A_BASELINE_EXACT,EXECUTED,YES,YES
ARD-2511,affected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2511.webp,عطر انا الابيض بودري,Lattafa,60 مل,perfumes,عطر-انا-الابيض-بودري-ard-2511,عطر أنا الأبيض بودري من لطافة، إصدار بودري ناعم للجنسين بطابع مسكي أنيق.,0,false,false,private,YES,EXECUTED,YES,YES
ARD-2512,unaffected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2512.webp,عطر حياتي ذهبي الكسير,Lattafa,100 مل,perfumes,عطر-حياتي-ذهبي-الكسير-ard-2512,عطر حياتي الذهبي إكسير من لطافة بحجم 100 مل، بطابع دافئ أنيق.,0,false,false,private,N/A_BASELINE_EXACT,EXECUTED,YES,YES
ARD-2515,unaffected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2515.webp,عطر انا الابيض لذر 60 مل,Lattafa,60 مل,perfumes,عطر-انا-الابيض-لذر-60-مل-ard-2515,عطر أنا الأبيض ليذر من لطافة بحجم 60 مل، برائحة جلدية أنيقة مع لمسات حارة وزهرية وقاعدة مسك وعنبر.,0,false,false,private,N/A_BASELINE_EXACT,EXECUTED,YES,YES
ARD-2583,affected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2583.webp,عطر نجدية تربيوت,Lattafa,100 مل,perfumes,عطر-نجدية-تربيوت-ard-2583,عطر نجدية تربيوت من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,0,false,false,private,YES,EXECUTED,YES,YES
ARD-2648,unaffected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2648.webp,عطر الازل 100 مل,Lattafa,100 مل,perfumes,عطر-الازل-100-مل-ard-2648,عطر الأزل من لطافة بحجم 100 مل، بافتتاحية حمضية عشبية وقلب زهري وقاعدة فانيليا ومسك وخشب أرز دافئة.,0,false,false,private,N/A_BASELINE_EXACT,EXECUTED,YES,YES
ARD-2745,unaffected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2745.webp,عطر مهرة 100 مل,Lattafa,100 مل,perfumes,عطر-مهرة-100-مل-ard-2745,عطر مهرة من لطافة بحجم 100 مل للجنسين، بمزيج حار زهري مع زعفران وورد وقاعدة خشبية مسكية أنيقة.,0,false,false,private,N/A_BASELINE_EXACT,EXECUTED,YES,YES
ARD-2753,unaffected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2753.webp,عطر اوبلينت ريد 100 مل,Lattafa,100 مل,perfumes,عطر-اوبلينت-ريد-100-مل-ard-2753,عطر أوبلينت ريد من لطافة بحجم 100 مل، برائحة فاكهية زهرية دافئة مع زعفران وكاشمران وقاعدة عنبر وخشب.,0,false,false,private,N/A_BASELINE_EXACT,EXECUTED,YES,YES
ARD-2760,unaffected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2760.webp,عطر اسد 100 مل,Lattafa,100 مل,perfumes,عطر-اسد-100-مل-ard-2760,عطر أسد من لطافة بحجم 100 مل للرجال، برائحة كهرمانية قوية مع فلفل أسود وتبغ وقهوة وقاعدة فانيليا وعنبر.,0,false,false,private,N/A_BASELINE_EXACT,EXECUTED,YES,YES
ARD-2765,unaffected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2765.webp,عطر منى 100 مل,Lattafa,100 مل,perfumes,عطر-منى-100-مل-ard-2765,عطر منى من لطافة بحجم 100 مل، برائحة زهرية فاكهية خفيفة مع بطيخ وورد دمشق وقاعدة مسكية خشبية ناعمة.,0,false,false,private,N/A_BASELINE_EXACT,EXECUTED,YES,YES
ARD-2773,unaffected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2773.webp,عطر عود مود تذكر 100 مل,Lattafa,100 مل,perfumes,عطر-عود-مود-تذكر-100-مل-ard-2773,عطر عود مود تذكر من لطافة بحجم 100 مل، برائحة شرقية عودية مع ورد وزعفران وقاعدة فانيليا ومسك وطحلب.,0,false,false,private,N/A_BASELINE_EXACT,EXECUTED,YES,YES
ARD-2793,affected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2793.webp,معطر جو لطافة جديد فخر لطافة هوم,Lattafa,300 مل,home-linen-air,معطر-جو-لطافة-جديد-فخر-لطافة-هوم-ard-2793,معطر جو فخر لطافة من لطافة، لتعطير المنزل برائحة فخر الأنيقة المنعشة بحجم منزلي عملي وثابت.,0,false,false,private,YES,EXECUTED,YES,YES
ARD-2797,affected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2797.webp,معطر جو لطافة جديد فخر لطافة نسائي,Lattafa,300 مل,home-linen-air,معطر-جو-لطافة-جديد-فخر-لطافة-نسائي-ard-2797,معطر جو فخر لطافة نسائي من لطافة، يعطّر الأجواء برائحة زهرية أنثوية مستوحاة من عطر فخر للنساء.,0,false,false,private,YES,EXECUTED,YES,YES
ARD-2800,unaffected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/products/02d63533-5bc2-4812-9b46-16d3a546c52c.webp,عطر ناو انتينس ازرق,RAVE,100 مل,perfumes,عطر-ناو-انتينس-ازرق-ard-2800,عطر رجالي بحجم 100 مل من RAVE ضمن إصدار Now Intense، بعبوة زرقاء وتصميم عصري من مجموعة Now.,0,false,false,private,N/A_BASELINE_EXACT,EXECUTED,YES,YES
ARD-2876,unaffected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2876.webp,عطر قصائد السلطان 100 مل,Lattafa,100 مل,perfumes,عطر-قصائد-السلطان-100-مل-ard-2876,عطر قصائد السلطان من لطافة بحجم 100 مل، برائحة جلدية شرقية دافئة مع عسل وتوابل وقاعدة عود وفانيليا.,0,false,false,private,N/A_BASELINE_EXACT,EXECUTED,YES,YES
ARD-2879,unaffected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2879.webp,عطر خمرة 100 مل,Lattafa,100 مل,perfumes,عطر-خمرة-100-مل-ard-2879,عطر خمرة من لطافة بحجم 100 مل للجنسين، برائحة غورماند حارة مع قرفة وتمر وبراالين وقاعدة فانيليا وتونكا.,0,false,false,private,N/A_BASELINE_EXACT,EXECUTED,YES,YES
ARD-2932,affected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2932.webp,عطر الاوصاف 100 مل,Lattafa,100 مل,perfumes,عطر-الاوصاف-100-مل-ard-2932,عطر الأوصاف من لطافة بحجم 100 مل، برائحة خشبية راتنجية داكنة مع مر وعود وباتشولي تناسب الأمسيات والأجواء الباردة.,0,false,false,private,YES,EXECUTED,YES,YES
