node.exe : npm warn Unknown env config "devdir". This will stop working in the next major version of npm. See `npm 
help npmrc` for supported config options.
At line:1 char:1
+ & "C:\Program Files\nodejs/node.exe" "C:\Users\derma\AppData\Roaming\ ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (npm warn Unknow...config options.:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
  17:42  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any

E:\Project\DilMart-Store\backend\src\modules\analytics\analytics.service.ts
   82:95  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  162:22  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any

E:\Project\DilMart-Store\backend\src\modules\auth\account-claim.service.ts
   99:23  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  396:19  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  410:30  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any

E:\Project\DilMart-Store\backend\src\modules\auth\otp-challenge.service.ts
  325:102  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  365:102  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  376:90   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  387:113  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any

E:\Project\DilMart-Store\backend\src\modules\auth\password-recovery.service.ts
   50:21  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  184:30  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  237:86  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  252:30  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  272:30  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  303:28  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  321:28  error  Empty block statement                     no-empty
  333:88  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  348:26  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any

E:\Project\DilMart-Store\backend\src\modules\auth\whatsapp-otp.provider.ts
  130:17  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any

E:\Project\DilMart-Store\backend\src\modules\cart\cart-checkout.service.ts
  196:60  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  257:91  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  274:41  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  285:42  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  372:18  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  475:12  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any

E:\Project\DilMart-Store\backend\src\modules\catalog\catalog.service.ts
   32:39  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   68:36  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  104:37  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  108:39  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  108:82  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any

E:\Project\DilMart-Store\backend\src\modules\categories\categories.service.ts
  20:98  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  26:92  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any

E:\Project\DilMart-Store\backend\src\modules\checkout\checkout.service.ts
  379:78  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  379:96  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  383:87  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  384:85  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  412:19  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any

E:\Project\DilMart-Store\backend\src\modules\coupons\coupons.service.ts
   98:95  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  103:93  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any

E:\Project\DilMart-Store\backend\src\modules\customer\customer.service.ts
   30:29   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   31:25   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   32:25   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   46:14   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   74:105  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   76:98   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   92:12   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  110:98   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  125:12   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  157:99   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  174:96   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  177:39   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  200:37   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  209:52   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  248:51   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  279:34   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  279:64   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any

E:\Project\DilMart-Store\backend\src\modules\finance\courier-finance.service.ts
   76:69   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   86:12   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   93:25   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  120:10   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  133:26   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  134:20   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  135:26   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  136:26   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  139:38   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  140:27   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  144:32   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  145:39   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  155:113  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  163:59   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  170:30   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  176:36   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  176:81   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  189:26   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  190:26   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  191:26   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  192:26   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  193:71   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  199:59   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  206:40   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  213:30   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  216:53   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  229:26   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  230:20   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  231:26   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  234:38   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  235:27   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  239:32   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  240:39   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  250:115  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  258:60   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  264:30   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  283:60   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  289:61   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  296:30   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  311:26   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  312:26   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  318:58   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  323:41   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  323:96   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  326:60   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  332:30   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  348:26   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  349:20   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  349:65   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  352:19   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  355:37   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  364:60   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  375:12   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  381:30   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  402:54   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  405:11   error  Redundant Boolean call                    no-extra-boolean-cast
  411:19   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  412:32   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  414:19   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  415:32   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  431:12   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  436:39   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  437:34   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  441:118  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  444:39   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  448:36   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  450:12   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  457:42   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  503:19   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  512:12   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  536:63   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  544:51   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  545:43   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  547:30   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  548:12   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  557:45   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  561:62   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  571:72   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  575:89   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  597:26   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  607:63   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  614:59   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  640:41   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  642:21   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  643:34   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  645:54   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  646:37   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  724:39   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  740:43   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  742:53   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  743:54   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  744:50   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  745:53   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  746:48   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  750:44   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  752:40   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  752:72   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  753:22   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  753:72   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  753:112  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  756:22   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  807:22   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  817:43   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  843:20   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  845:42   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  848:39   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  849:28   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  850:28   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  853:33   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  854:33   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  866:30   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  873:79   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  878:28   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  883:41   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any

E:\Project\DilMart-Store\backend\src\modules\finance\order-finance.service.ts
  272:24   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  300:26   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  303:32   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  311:50   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  312:48   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  314:24   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  315:24   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  316:24   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  318:43   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  322:32   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  336:32   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  350:32   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  375:30   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  387:53   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  388:12   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  403:19   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  403:69   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  403:121  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  406:19   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  408:44   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  409:44   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  410:47   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  414:37   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  417:30   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  418:30   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  419:39   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  430:51   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  437:40   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  444:30   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  466:30   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  470:44   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  471:39   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  495:12   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  501:30   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  524:10   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any

E:\Project\DilMart-Store\backend\src\modules\inventory\inventory.service.ts
  40:43  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  44:45  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  49:39  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any

E:\Project\DilMart-Store\backend\src\modules\jenni\jenni-client.service.ts
  104:125  error  Unnecessary escape character: \}  no-useless-escape

E:\Project\DilMart-Store\backend\src\modules\jenni\jenni-dispatch.service.ts
   64:27  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  204:41  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  234:36  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  291:34  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  371:39  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any

E:\Project\DilMart-Store\backend\src\modules\jenni\jenni-merchant-provisioning.service.ts
  110:19  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any

E:\Project\DilMart-Store\backend\src\modules\jenni\jenni-reference-sync.service.ts
   87:60  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   89:79  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   93:34  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   96:32  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  117:38  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  122:37  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any

E:\Project\DilMart-Store\backend\src\modules\jenni\jenni-sticker.service.ts
  72:28  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  90:51  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  97:51  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any

E:\Project\DilMart-Store\backend\src\modules\jenni\jenni-store-provisioning.service.ts
  232:19  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any

E:\Project\DilMart-Store\backend\src\modules\jenni\jenni-sync.service.ts
